,nodes,ntasks_per_node,filesystem.name,filesystem.mountpoint,stonewall,iters,time,ior_api,ior-easy-write,mdtest-easy-write,ior-hard-write,mdtest-hard-write,find,ior-easy-read,mdtest-easy-stat,ior-hard-read,mdtest-hard-stat,mdtest-easy-delete,mdtest-hard-read,mdtest-hard-delete,bandwidth-score,iops-score,total-score
0,1,1,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,POSIX,1.184695,0.533944,0.88783,0.270639,252.836923,2.024146,2.797456,2.112064,3.883948,1.450767,1.489019,1.697031,1.456201,2.485243,1.90237
1,1,2,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,POSIX,1.995671,1.031222,0.051318,0.49448,381.991838,3.889024,6.876751,2.8606,10.148446,3.290006,6.145793,1.780971,1.033152,5.143055,2.305116
2,1,1,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,0,4:0:0,POSIX,0.632958,0.260565,0.438536,0.005763,115.470374,0.744663,5.818197,0.774288,5.65885,0.673216,0.015366,0.390119,0.6325,0.624171,0.628322
3,1,2,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,0,4:0:0,POSIX,1.357173,0.510967,0.001293,0.009697,222.559993,1.484543,11.09408,0.365443,10.481931,1.327193,0.028217,0.247959,0.17567,1.022063,0.423728
4,1,4,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,POSIX,2.762353,1.822132,0.055206,0.528999,626.252583,3.452943,15.016777,0.073283,4.428278,5.524802,6.235265,2.120624,0.443215,6.432856,1.688532
5,1,4,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,0,4:0:0,POSIX,2.463093,0.996077,0.001136,0.020439,120.936813,1.905418,22.961544,0.027616,24.19412,2.207856,0.051378,0.304192,0.110149,1.61897,0.422288
6,1,16,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,POSIX,3.682793,3.782918,0.061575,0.519115,891.004516,4.510215,41.702283,0.043917,4.055335,6.993175,19.308525,2.058193,0.460366,9.758505,2.119549
7,1,16,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,0,4:0:0,POSIX,1.359217,2.813995,0.000784,0.093375,322.141843,1.268942,53.660322,0.049827,53.8157,5.539131,0.342247,0.342017,0.090608,4.466827,0.636185
8,2,2,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,POSIX,3.598561,1.84287,0.020654,0.944967,231.564764,1.961638,12.949181,0.119463,8.381073,5.979394,4.114972,2.61893,0.363285,6.401536,1.524986
9,2,2,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,0,4:0:0,POSIX,0.385816,0.731785,0.000469,0.015085,212.718181,0.659937,15.406595,0.052748,9.130662,1.969633,0.049283,0.462862,0.050092,1.400986,0.264911
10,10,2,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,POSIX,14.802225,4.286629,0.062465,2.81242,390.984996,8.660824,50.962797,0.133965,36.312718,7.277974,21.446814,2.593338,1.01772,15.613043,3.986189
11,10,2,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,0,4:0:0,POSIX,,,,,,,,,,,,,,,
12,1,1,panasas,/gws/pw/j07/perf_testing3,300,1,4:0:0,POSIX,1.170299,0.543807,0.914144,0.265916,247.468925,2.018448,2.76912,2.174408,2.966245,1.806982,1.517298,2.140152,1.472033,2.538581,1.9331
