access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,4.3418292904e+02,4.3415547013e+02,4.1108174288e+06,4.1110774245e+06
write,1,4.3418294096e+02,4.3415546703e+02,4.1108173160e+06,4.1110774539e+06
write,2,4.3418291688e+02,4.3415546703e+02,4.1108175440e+06,4.1110774539e+06
write,3,4.3418293500e+02,4.3415544105e+02,4.1108173724e+06,4.1110777000e+06
write,4,4.3418294597e+02,4.3415545702e+02,4.1108172686e+06,4.1110775487e+06
write,5,4.3418291497e+02,4.3415543413e+02,4.1108175620e+06,4.1110777654e+06
write,6,4.3418296003e+02,4.3415544415e+02,4.1108171354e+06,4.1110776706e+06
write,7,4.3418292093e+02,4.3415546799e+02,4.1108175056e+06,4.1110774449e+06
write,8,4.3418296003e+02,4.3415546703e+02,4.1108171354e+06,4.1110774539e+06
write,9,4.3418292904e+02,4.3415547013e+02,4.1108174288e+06,4.1110774245e+06
write,10,4.3418295908e+02,4.3415544605e+02,4.1108171444e+06,4.1110776526e+06
write,11,4.3418295407e+02,4.3415547204e+02,4.1108171918e+06,4.1110774065e+06
write,12,4.3418293214e+02,4.3415546012e+02,4.1108173995e+06,4.1110775194e+06
write,13,4.3418378615e+02,4.3415547609e+02,4.1108093137e+06,4.1110773681e+06
write,14,4.3418297100e+02,4.3415546203e+02,4.1108170316e+06,4.1110775013e+06
write,15,4.3418291807e+02,4.3415546823e+02,4.1108175327e+06,4.1110774426e+06
