access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,1.7826145005e+02,1.7434827089e+02,4.3326329937e+05,4.4298772568e+05
write,1,1.7826135802e+02,1.6647091293e+02,4.3326352305e+05,4.6394978341e+05
write,2,1.7826131010e+02,1.2771413994e+02,4.3326363952e+05,6.0474230995e+05
write,3,1.7826135683e+02,1.7455644178e+02,4.3326352594e+05,4.4245943152e+05
write,4,1.7826118398e+02,1.6479606104e+02,4.3326394606e+05,4.6866498819e+05
write,5,1.7826119590e+02,1.7414420009e+02,4.3326391709e+05,4.4350684066e+05
write,6,1.7826129508e+02,1.4416769695e+02,4.3326367603e+05,5.3572433792e+05
write,7,1.7831000996e+02,1.7482597184e+02,4.3314530698e+05,4.4177728965e+05
write,8,1.7826133990e+02,8.2582137108e+01,4.3326356709e+05,9.3524031594e+05
write,9,1.7826139712e+02,1.7026856995e+02,4.3326342801e+05,4.5360188333e+05
write,10,1.7826132298e+02,1.3021519303e+02,4.3326360823e+05,5.9312697851e+05
write,11,1.7826139593e+02,1.7445019794e+02,4.3326343091e+05,4.4272889864e+05
write,12,1.7826151109e+02,9.0666327238e+01,4.3326315102e+05,8.5185036554e+05
write,13,1.7826153994e+02,1.7081323886e+02,4.3326308091e+05,4.5215549167e+05
write,14,1.7826149487e+02,1.3010341811e+02,4.3326319043e+05,5.9363654792e+05
write,15,1.7826156497e+02,7.8862020016e+01,4.3326302006e+05,9.7935792140e+05
write,16,1.7826153088e+02,1.4126122999e+02,4.3326310293e+05,5.4674693123e+05
write,17,1.7826129889e+02,1.3217013693e+02,4.3326366676e+05,5.8435396826e+05
write,18,1.7826140785e+02,1.1422941208e+02,4.3326340194e+05,6.7613185251e+05
write,19,1.7826138592e+02,1.2330890799e+02,4.3326345525e+05,6.2634683302e+05
write,20,1.7826137590e+02,9.2644725084e+01,4.3326347959e+05,8.3365937920e+05
write,21,1.7826142693e+02,9.9383390188e+01,4.3326335558e+05,7.7713332030e+05
write,22,1.7826151395e+02,8.4371737957e+01,4.3326314407e+05,9.1540302322e+05
write,23,1.7839137006e+02,1.0126709509e+02,4.3294775961e+05,7.6267758972e+05
write,24,1.7826144004e+02,1.4226486993e+02,4.3326332371e+05,5.4288978044e+05
write,25,1.7826133990e+02,1.0886101317e+02,4.3326356709e+05,7.0947478577e+05
write,26,1.7826154017e+02,1.5034823203e+02,4.3326308033e+05,5.1370171073e+05
write,27,1.7826137686e+02,6.8411602974e+01,4.3326347727e+05,1.1289626415e+06
write,28,1.7826143789e+02,1.6608840990e+02,4.3326332892e+05,4.6501826374e+05
write,29,1.7826119304e+02,1.7440662789e+02,4.3326392404e+05,4.4283950061e+05
write,30,1.7826125097e+02,1.7505938792e+02,4.3326378323e+05,4.4118824427e+05
write,31,1.7826101208e+02,1.7354340577e+02,4.3326436387e+05,4.4504222824e+05
write,32,1.7826147509e+02,1.1039846706e+02,4.3326323852e+05,6.9959435175e+05
write,33,1.7826137495e+02,1.5173376298e+02,4.3326348190e+05,5.0901093127e+05
write,34,1.7826136112e+02,1.3278878093e+02,4.3326351551e+05,5.8163154643e+05
write,35,1.7826133990e+02,1.4482221580e+02,4.3326356709e+05,5.3330315087e+05
write,36,1.7826112914e+02,1.0277403212e+02,4.3326407934e+05,7.5149473471e+05
write,37,1.7826126504e+02,1.2043802595e+02,4.3326374904e+05,6.4127706669e+05
write,38,1.7826145387e+02,8.0279082775e+01,4.3326329010e+05,9.6207058340e+05
write,39,1.7830901003e+02,1.1700332499e+02,4.3314773599e+05,6.6010212966e+05
write,40,1.7826138806e+02,6.3070502996e+01,4.3326345003e+05,1.2245683851e+06
write,41,1.7826135397e+02,9.3353281975e+01,4.3326353290e+05,8.2733185557e+05
write,42,1.7826137614e+02,7.3616124153e+01,4.3326347901e+05,1.0491471113e+06
write,43,1.7826148701e+02,1.4330107999e+02,4.3326320955e+05,5.3896414463e+05
write,44,1.7826147318e+02,1.6401187587e+02,4.3326324316e+05,4.7090580235e+05
write,45,1.7826154184e+02,1.7252296495e+02,4.3326307627e+05,4.4767456912e+05
write,46,1.7826152110e+02,1.7425135803e+02,4.3326312669e+05,4.4323410085e+05
write,47,1.7826161194e+02,1.7357544708e+02,4.3326290591e+05,4.4496007528e+05
write,48,1.7826138186e+02,1.7388124084e+02,4.3326346510e+05,4.4417755259e+05
write,49,1.7826126289e+02,1.7444356990e+02,4.3326375426e+05,4.4274572026e+05
write,50,1.7826127100e+02,1.6113105297e+02,4.3326373456e+05,4.7932501263e+05
write,51,1.7826142693e+02,1.7410183716e+02,4.3326335558e+05,4.4361475594e+05
write,52,1.7826121402e+02,1.6546430993e+02,4.3326387305e+05,4.6677222437e+05
write,53,1.7826125288e+02,1.6183582902e+02,4.3326377860e+05,4.7723760843e+05
write,54,1.7826143789e+02,1.7327593112e+02,4.3326332892e+05,4.4572921063e+05
write,55,1.7830971813e+02,1.6898778391e+02,4.3314601587e+05,4.5703980615e+05
write,56,1.7826135302e+02,5.8382869005e+01,4.3326353522e+05,1.3228905211e+06
write,57,1.7826132083e+02,1.0759718680e+02,4.3326361344e+05,7.1780820944e+05
write,58,1.7826140118e+02,8.0857497215e+01,4.3326341816e+05,9.5518840751e+05
write,59,1.7826136494e+02,1.6966723800e+02,4.3326350624e+05,4.5520953197e+05
write,60,1.7826140809e+02,8.0491188049e+01,4.3326340136e+05,9.5953539601e+05
write,61,1.7826111293e+02,1.5160891294e+02,4.3326411875e+05,5.0943010210e+05
write,62,1.7826122499e+02,1.2573950601e+02,4.3326384639e+05,6.1423928289e+05
write,63,1.7826097298e+02,1.6566964698e+02,4.3326445890e+05,4.6619368972e+05
write,64,1.7826132393e+02,1.7520446610e+02,4.3326360591e+05,4.4082291803e+05
write,65,1.7826120591e+02,1.5875539398e+02,4.3326389275e+05,4.8649776277e+05
write,66,1.7826129293e+02,1.7113541794e+02,4.3326368124e+05,4.5130426495e+05
write,67,1.7826125598e+02,1.2868237710e+02,4.3326377106e+05,6.0019208333e+05
write,68,1.7826102901e+02,1.7448594308e+02,4.3326432272e+05,4.4263820132e+05
write,69,1.7826120305e+02,1.4489904523e+02,4.3326389971e+05,5.3302037897e+05
write,70,1.7826125693e+02,7.4242490053e+01,4.3326376874e+05,1.0402957113e+06
write,71,1.7831095004e+02,1.0649627113e+02,4.3314302337e+05,7.2522862235e+05
write,72,1.7826129508e+02,4.1526684999e+01,4.3326367603e+05,1.8598677935e+06
write,73,1.7826122212e+02,1.7240858912e+02,4.3326385335e+05,4.4797155636e+05
write,74,1.7826134181e+02,1.6465960503e+02,4.3326356245e+05,4.6905337826e+05
write,75,1.7826130414e+02,1.7514183283e+02,4.3326365401e+05,4.4098056274e+05
write,76,1.7826143003e+02,6.6790925980e+01,4.3326334805e+05,1.1563568384e+06
write,77,1.7826146507e+02,1.6349518991e+02,4.3326326286e+05,4.7239398324e+05
write,78,1.7826142693e+02,8.9794314146e+01,4.3326335558e+05,8.6012287899e+05
write,79,1.7826132894e+02,1.5943491197e+02,4.3326359374e+05,4.8442428981e+05
write,80,1.7826113200e+02,1.3472222281e+02,4.3326407239e+05,5.7328436536e+05
write,81,1.7826133704e+02,1.2578612590e+02,4.3326357404e+05,6.1401162846e+05
write,82,1.7826130104e+02,1.0183298111e+02,4.3326366154e+05,7.5843938927e+05
write,83,1.7826126218e+02,1.1663158202e+02,4.3326375600e+05,6.6220609085e+05
write,84,1.7826118207e+02,1.3547306204e+02,4.3326395070e+05,5.7010702230e+05
write,85,1.7826118708e+02,1.4300362802e+02,4.3326393853e+05,5.4008520673e+05
write,86,1.7826135993e+02,1.5773098087e+02,4.3326351841e+05,4.8965741272e+05
write,87,1.7837107992e+02,1.5361807704e+02,4.3299700845e+05,5.0276728812e+05
write,88,1.7826123786e+02,8.4887151957e+01,4.3326381510e+05,9.0984492022e+05
write,89,1.7826129198e+02,1.4523413396e+02,4.3326368356e+05,5.3179057770e+05
write,90,1.7826121211e+02,9.3306241989e+01,4.3326387769e+05,8.2774895177e+05
write,91,1.7826135087e+02,1.1150359201e+02,4.3326354043e+05,6.9266059151e+05
write,92,1.7826132202e+02,1.6896933699e+02,4.3326361055e+05,4.5708970265e+05
write,93,1.7826111603e+02,1.7825587201e+02,4.3326411122e+05,4.3327685719e+05
write,94,1.7826125813e+02,1.7790798879e+02,4.3326376585e+05,4.3412409149e+05
write,95,1.7826124907e+02,1.7681624198e+02,4.3326378787e+05,4.3680457822e+05
write,96,1.7826120305e+02,9.7322089911e+01,4.3326389971e+05,7.9359315106e+05
write,97,1.7826128411e+02,1.5593677902e+02,4.3326370268e+05,4.9529138978e+05
write,98,1.7826130104e+02,1.4328460193e+02,4.3326366154e+05,5.3902612675e+05
write,99,1.7826130605e+02,1.4950571895e+02,4.3326364937e+05,5.1659658603e+05
write,100,1.7826111293e+02,1.1671615911e+02,4.3326411875e+05,6.6172623047e+05
write,101,1.7826117587e+02,1.3581458902e+02,4.3326396577e+05,5.6867339919e+05
write,102,1.7826125383e+02,1.2235935616e+02,4.3326377628e+05,6.3120750567e+05
write,103,1.7826131701e+02,1.3196883988e+02,4.3326362272e+05,5.8524530539e+05
write,104,1.7826134300e+02,7.5146428108e+01,4.3326355955e+05,1.0277819711e+06
write,105,1.7826129198e+02,1.0963131499e+02,4.3326368356e+05,7.0448980754e+05
write,106,1.7826120687e+02,8.5035783052e+01,4.3326389043e+05,9.0825463384e+05
write,107,1.7826135802e+02,1.0759121203e+02,4.3326352305e+05,7.1784807086e+05
write,108,1.7826132011e+02,1.6711201096e+02,4.3326361518e+05,4.6216991560e+05
write,109,1.7831019497e+02,1.7396326995e+02,4.3314485755e+05,4.4396810903e+05
write,110,1.7826145816e+02,1.7455151200e+02,4.3326327967e+05,4.4247192771e+05
write,111,1.7826143789e+02,1.6968576503e+02,4.3326332892e+05,4.5515983021e+05
write,112,1.7826111102e+02,1.7468391299e+02,4.3326412338e+05,4.4213655784e+05
write,113,1.7826113200e+02,1.7501142287e+02,4.3326407239e+05,4.4130915990e+05
write,114,1.7826115394e+02,1.6859456801e+02,4.3326401908e+05,4.5810576764e+05
write,115,1.7826119995e+02,1.6947213602e+02,4.3326390724e+05,4.5573358437e+05
write,116,1.7826112294e+02,1.7195182586e+02,4.3326409441e+05,4.4916152309e+05
write,117,1.7826110101e+02,1.5004787803e+02,4.3326414772e+05,5.1472999829e+05
write,118,1.7826115012e+02,1.7258595800e+02,4.3326402835e+05,4.4751117005e+05
write,119,1.7837540507e+02,1.7486262989e+02,4.3298650937e+05,4.4168467584e+05
write,120,1.7826116991e+02,5.3455592155e+01,4.3326398025e+05,1.4448281440e+06
write,121,1.7826125813e+02,1.7467980218e+02,4.3326376585e+05,4.4214696282e+05
write,122,1.7826118493e+02,1.2417390704e+02,4.3326394375e+05,6.2198368272e+05
write,123,1.7826117396e+02,1.7447091103e+02,4.3326397040e+05,4.4267633811e+05
write,124,1.7826110911e+02,6.4297731876e+01,4.3326412802e+05,1.2011954659e+06
write,125,1.7826097202e+02,1.0638308191e+02,4.3326446122e+05,7.2600024939e+05
write,126,1.7826118207e+02,9.0689284086e+01,4.3326395070e+05,8.5163473037e+05
write,127,1.7826100302e+02,7.3097635984e+01,4.3326438589e+05,1.0565888070e+06
write,128,1.7826134515e+02,1.0501894999e+02,4.3326355434e+05,7.3543054859e+05
write,129,1.7826115894e+02,9.1019636869e+01,4.3326400691e+05,8.4854375008e+05
write,130,1.7826121807e+02,6.4988012075e+01,4.3326386320e+05,1.1884367829e+06
write,131,1.7826127696e+02,7.6702041864e+01,4.3326372007e+05,1.0069372617e+06
write,132,1.7826121283e+02,1.1409155107e+02,4.3326387595e+05,6.7694884747e+05
write,133,1.7826127601e+02,9.8923506975e+01,4.3326372239e+05,7.8074611750e+05
write,134,1.7826124597e+02,1.2110771608e+02,4.3326379540e+05,6.3773099269e+05
write,135,1.7830903411e+02,1.3033124208e+02,4.3314767749e+05,5.9259884863e+05
write,136,1.7826133680e+02,3.0096878052e+01,4.3326357462e+05,2.5661845680e+06
write,137,1.7826143503e+02,7.3776318073e+01,4.3326333588e+05,1.0468690498e+06
write,138,1.7826137710e+02,1.4027817202e+02,4.3326347669e+05,5.5057848908e+05
write,139,1.7826145983e+02,4.7333912134e+01,4.3326327561e+05,1.6316873150e+06
write,140,1.7826139903e+02,1.7339395809e+02,4.3326342338e+05,4.4542580866e+05
write,141,1.7826147604e+02,1.7338233209e+02,4.3326323621e+05,4.4545567631e+05
write,142,1.7826141691e+02,1.7344401193e+02,4.3326337992e+05,4.4529726418e+05
write,143,1.7826149201e+02,1.7154507422e+02,4.3326319738e+05,4.5022653288e+05
write,144,1.7826133084e+02,1.7440603900e+02,4.3326358911e+05,4.4284099589e+05
write,145,1.7826132393e+02,1.7391727281e+02,4.3326360591e+05,4.4408552845e+05
write,146,1.7826129913e+02,1.5225910187e+02,4.3326366618e+05,5.0725469317e+05
write,147,1.7826149011e+02,1.6957989287e+02,4.3326320202e+05,4.5544399570e+05
write,148,1.7826146412e+02,1.4645755887e+02,4.3326326518e+05,5.2734829527e+05
write,149,1.7826133013e+02,1.6167900181e+02,4.3326359085e+05,4.7770052472e+05
write,150,1.7826145506e+02,1.0706587887e+02,4.3326328720e+05,7.2137028918e+05
write,151,1.7830992889e+02,1.1522276902e+02,4.3314550389e+05,6.7030279393e+05
write,152,1.7826140499e+02,6.4666924000e+01,4.3326340889e+05,1.1943376803e+06
write,153,1.7826151299e+02,1.7293887091e+02,4.3326314639e+05,4.4659794293e+05
write,154,1.7826152182e+02,1.2250791597e+02,4.3326312495e+05,6.3044206887e+05
write,155,1.7826141095e+02,1.5506962085e+02,4.3326339440e+05,4.9806108752e+05
write,156,1.7826127291e+02,8.1920204878e+01,4.3326372992e+05,9.4279725149e+05
write,157,1.7826121998e+02,1.1278228688e+02,4.3326385856e+05,6.8480739427e+05
write,158,1.7826135802e+02,9.2837992907e+01,4.3326352305e+05,8.3192388786e+05
write,159,1.7826120210e+02,1.6338167286e+02,4.3326390202e+05,4.7272220102e+05
