access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,7.3448367596e+02,7.3447938991e+02,8.6856330356e+05,8.6856837206e+05
read,1,7.3448369908e+02,7.3447940993e+02,8.6856327621e+05,8.6856834837e+05
read,2,7.3448373008e+02,7.3447935104e+02,8.6856323956e+05,8.6856841801e+05
read,3,7.3448369002e+02,7.3447938704e+02,8.6856328693e+05,8.6856837544e+05
read,4,7.3448353505e+02,7.3447949600e+02,8.6856347019e+05,8.6856824659e+05
read,5,7.3448374510e+02,7.3447942114e+02,8.6856322180e+05,8.6856833512e+05
read,6,7.3448363709e+02,7.3447929621e+02,8.6856334952e+05,8.6856848286e+05
read,7,7.3448375201e+02,7.3447942400e+02,8.6856321362e+05,8.6856833174e+05
read,8,7.3448372412e+02,7.3447945714e+02,8.6856324661e+05,8.6856829255e+05
read,9,7.3448371911e+02,7.3447940993e+02,8.6856325253e+05,8.6856834837e+05
read,10,7.3448382187e+02,7.3447923088e+02,8.6856313101e+05,8.6856856011e+05
read,11,7.3448367596e+02,7.3447946095e+02,8.6856330356e+05,8.6856828804e+05
read,12,7.3448358798e+02,7.3447949696e+02,8.6856340760e+05,8.6856824546e+05
read,13,7.3448375201e+02,7.3447933507e+02,8.6856321362e+05,8.6856843690e+05
read,14,7.3448357010e+02,7.3447956896e+02,8.6856342874e+05,8.6856816032e+05
read,15,7.3448347402e+02,7.3447925711e+02,8.6856354236e+05,8.6856852910e+05
read,16,7.3448367882e+02,7.3447954392e+02,8.6856330018e+05,8.6856818992e+05
read,17,7.3448372507e+02,7.3447950482e+02,8.6856324548e+05,8.6856823616e+05
read,18,7.3448382115e+02,7.3447968006e+02,8.6856313186e+05,8.6856802893e+05
read,19,7.3448379087e+02,7.3447967505e+02,8.6856316766e+05,8.6856803485e+05
read,20,7.3448375702e+02,7.3447973299e+02,8.6856320770e+05,8.6856796634e+05
read,21,7.3448341799e+02,7.3447976089e+02,8.6856360862e+05,8.6856793335e+05
read,22,7.3448379183e+02,7.3447986388e+02,8.6856316654e+05,8.6856781155e+05
read,23,7.3448364496e+02,7.3447969890e+02,8.6856334021e+05,8.6856800666e+05
read,24,7.3448369002e+02,7.3447969794e+02,8.6856328693e+05,8.6856800778e+05
read,25,7.3448368788e+02,7.3447981811e+02,8.6856328946e+05,8.6856786568e+05
read,26,7.3448376489e+02,7.3447981405e+02,8.6856319840e+05,8.6856787048e+05
read,27,7.3448355699e+02,7.3447976518e+02,8.6856344425e+05,8.6856792828e+05
read,28,7.3448373914e+02,7.3447992706e+02,8.6856322885e+05,8.6856773684e+05
read,29,7.3448365784e+02,7.3447983313e+02,8.6856332499e+05,8.6856784792e+05
read,30,7.3448366618e+02,7.3447986817e+02,8.6856331512e+05,8.6856780648e+05
