runtime: 0.505507 rate: 463260.044857
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 0, 85950, 87626, 1002, 1672, 32, 0, 0.002s, 4
1, 0, 0, 221, 466, 0, 1100, 257, 1153, 723, 0.309s, 4
2, 0, 0, 67, 7459, 7328, 1088, 259, 1152, 391, 0.348s, 4
3, 0, 0, 76, 14538, 14677, 1033, 307, 1110, 172, 0.289s, 4
4, 0, 0, 72, 285, 0, 1110, 68, 1108, 353, 0.397s, 4
5, 0, 0, 83, 7434, 7328, 920, 200, 1117, 307, 0.332s, 4
6, 0, 0, 54, 7360, 7328, 996, 173, 1158, 206, 0.342s, 4
7, 0, 0, 148, 325, 0, 958, 109, 1170, 434, 0.368s, 4
8, 0, 0, 78, 21730, 21984, 1099, 378, 1109, 127, 0.274s, 4
9, 0, 0, 45, 14484, 14656, 1134, 300, 1150, 130, 0.314s, 4
10, 0, 0, 95, 279, 0, 1345, 89, 1143, 368, 0.373s, 4
11, 0, 0, 59, 287, 0, 1006, 60, 1170, 347, 0.375s, 4
12, 0, 0, 81, 7365, 7328, 1013, 182, 1092, 220, 0.324s, 4
13, 0, 0, 117, 311, 0, 1119, 125, 1170, 436, 0.356s, 4
14, 0, 0, 67, 7390, 7328, 980, 131, 1169, 194, 0.322s, 4
15, 0, 0, 102, 304, 0, 951, 22, 1173, 326, 0.368s, 4
16, 0, 0, 48, 14482, 14657, 1079, 298, 1170, 126, 0.299s, 4
17, 0, 0, 105, 332, 0, 1206, 113, 1110, 445, 0.354s, 4
18, 0, 0, 65, 14532, 14656, 1011, 337, 1078, 215, 0.289s, 4
19, 0, 0, 77, 28868, 29312, 1212, 564, 828, 124, 0.236s, 4
