access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,5.4535299802e+02,5.4534163594e+02,4.4718871963e+08,4.4719803671e+08
read,1,5.4535299706e+02,5.4534162211e+02,4.4718872041e+08,4.4719804805e+08
read,2,5.4535351300e+02,5.4534212112e+02,4.4718829734e+08,4.4719763884e+08
read,3,5.4535352492e+02,5.4534213114e+02,4.4718828757e+08,4.4719763063e+08
read,4,5.4535348606e+02,5.4534225607e+02,4.4718831943e+08,4.4719752818e+08
read,5,5.4535348606e+02,5.4534223294e+02,4.4718831943e+08,4.4719754715e+08
read,6,5.4535350990e+02,5.4534220695e+02,4.4718829988e+08,4.4719756846e+08
read,7,5.4535351014e+02,5.4534219193e+02,4.4718829969e+08,4.4719758078e+08
read,8,5.4535346198e+02,5.4534231496e+02,4.4718833918e+08,4.4719747989e+08
read,9,5.4535345578e+02,5.4534228897e+02,4.4718834426e+08,4.4719750120e+08
read,10,5.4535356903e+02,5.4534225488e+02,4.4718825140e+08,4.4719752916e+08
read,11,5.4535356808e+02,5.4534224200e+02,4.4718825218e+08,4.4719753972e+08
read,12,5.4535340405e+02,5.4534225512e+02,4.4718838668e+08,4.4719752897e+08
read,13,5.4535340500e+02,5.4534223294e+02,4.4718838590e+08,4.4719754715e+08
read,14,5.4535355496e+02,5.4534227514e+02,4.4718826293e+08,4.4719751254e+08
read,15,5.4535354996e+02,5.4534224916e+02,4.4718826704e+08,4.4719753385e+08
read,16,5.4535337806e+02,5.4534215093e+02,4.4718840799e+08,4.4719761440e+08
read,17,5.4535337806e+02,5.4534212303e+02,4.4718840799e+08,4.4719763728e+08
read,18,5.4535364199e+02,5.4534229803e+02,4.4718819157e+08,4.4719749377e+08
read,19,5.4535364294e+02,5.4534230089e+02,4.4718819079e+08,4.4719749143e+08
