runtime: 5.490341 rate: 390984.995562
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 0, 824850, 849666, 10443, 24812, 37, 0, 0.002s, 4
1, 0, 0, 2666, 5587, 0, 8640, 4836, 9949, 10423, 2.738s, 4
2, 0, 0, 1108, 128319, 129698, 8925, 4416, 9731, 3039, 2.980s, 4
3, 0, 0, 1103, 128345, 129698, 8812, 4036, 9654, 2685, 2.999s, 4
4, 0, 0, 1232, 3434, 0, 9228, 1838, 9676, 5272, 3.337s, 4
5, 0, 0, 1528, 4266, 0, 8736, 2076, 9703, 6342, 3.118s, 4
6, 0, 0, 1215, 65909, 64849, 9557, 4089, 9734, 5150, 3.087s, 4
7, 0, 0, 1371, 3909, 0, 9521, 1950, 9410, 5859, 3.346s, 4
8, 0, 0, 1463, 4351, 0, 8870, 1786, 9772, 6137, 3.162s, 4
9, 0, 0, 917, 190251, 194547, 9213, 6153, 9659, 1860, 2.914s, 4
10, 0, 0, 1030, 190648, 194547, 9266, 6303, 9326, 2407, 2.826s, 4
11, 0, 0, 1504, 4253, 0, 9268, 1528, 9598, 5781, 3.236s, 4
12, 0, 0, 905, 190662, 194547, 9266, 5934, 9582, 2052, 2.887s, 4
13, 0, 0, 1069, 128296, 129719, 8595, 4334, 9559, 2915, 2.940s, 4
14, 0, 0, 1465, 4815, 0, 9110, 2632, 9599, 7447, 3.189s, 4
15, 0, 0, 984, 253183, 259397, 8601, 7787, 8776, 1578, 2.558s, 4
16, 0, 0, 1142, 3580, 0, 9286, 2872, 9625, 6452, 3.371s, 4
17, 0, 0, 1237, 3954, 0, 9368, 1549, 9751, 5503, 3.249s, 4
18, 0, 0, 1645, 4040, 0, 9018, 2070, 9698, 6110, 3.166s, 4
19, 0, 0, 1216, 3989, 0, 8770, 2010, 9654, 5999, 3.333s, 4
