access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.1573924589e+02,3.0927372098e+02,8.1766806097e+08,8.3476182891e+08
write,1,3.1574081707e+02,3.1278273988e+02,8.1766399212e+08,8.2539687791e+08
write,2,3.1573516512e+02,3.0727856708e+02,8.1767862906e+08,8.4018192163e+08
write,3,3.1574175882e+02,3.1370719886e+02,8.1766155330e+08,8.2296452839e+08
write,4,3.1574038100e+02,3.0536444998e+02,8.1766512139e+08,8.4544843704e+08
write,5,3.1574084401e+02,3.0589978409e+02,8.1766392235e+08,8.4396887605e+08
write,6,3.1574114203e+02,3.0012925386e+02,8.1766315057e+08,8.6019571113e+08
write,7,3.1573875213e+02,3.0602155113e+02,8.1766933967e+08,8.4363305788e+08
write,8,3.1574080205e+02,3.0929157996e+02,8.1766403102e+08,8.3471362845e+08
write,9,3.1573842597e+02,3.0603599191e+02,8.1767018432e+08,8.4359324977e+08
write,10,3.1573887587e+02,3.0646936083e+02,8.1766901922e+08,8.4240035044e+08
write,11,3.1574118900e+02,3.1251241994e+02,8.1766302894e+08,8.2611083748e+08
write,12,3.1573835611e+02,3.1063277006e+02,8.1767036523e+08,8.3110966338e+08
write,13,3.1574005985e+02,3.1560702586e+02,8.1766595306e+08,8.1801061385e+08
write,14,3.1573797989e+02,3.1501428390e+02,8.1767133954e+08,8.1954981142e+08
write,15,3.1574011898e+02,3.0217823386e+02,8.1766579994e+08,8.5436298194e+08
write,16,3.1573971295e+02,3.1012505102e+02,8.1766685142e+08,8.3247030870e+08
write,17,3.1574093199e+02,3.1262605190e+02,8.1766369452e+08,8.2581056629e+08
write,18,3.1574146605e+02,3.0753882790e+02,8.1766231149e+08,8.3947090104e+08
write,19,3.1573864007e+02,3.0115542603e+02,8.1766962986e+08,8.5726463696e+08
