access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,6.7064139843e+00,6.6597959995e+00,5.5794897374e+06,5.6185456736e+06
read,1,6.7063841820e+00,6.6597640514e+00,5.5795145319e+06,5.6185726267e+06
read,2,6.7064499855e+00,6.6598091125e+00,5.5794597859e+06,5.6185346108e+06
read,3,6.7064108849e+00,6.6597859859e+00,5.5794923160e+06,5.6185541216e+06
read,4,6.7064299583e+00,6.6598229408e+00,5.5794764476e+06,5.6185229446e+06
read,5,6.7064249516e+00,6.6598179340e+00,5.5794806130e+06,5.6185271686e+06
read,6,6.7063870430e+00,6.6598351002e+00,5.5795121516e+06,5.6185126865e+06
read,7,6.7063910961e+00,6.6597931385e+00,5.5795087796e+06,5.6185480873e+06
read,8,6.7063977718e+00,6.6598751545e+00,5.5795032256e+06,5.6184788952e+06
read,9,6.7063748837e+00,6.6598198414e+00,5.5795222679e+06,5.6185255594e+06
read,10,6.7064309120e+00,6.6598601341e+00,5.5794756542e+06,5.6184915669e+06
read,11,6.7063832283e+00,6.6598141193e+00,5.5795153254e+06,5.6185303868e+06
read,12,6.7064421177e+00,6.6598138809e+00,5.5794663315e+06,5.6185305879e+06
read,13,6.7064011097e+00,6.6598060131e+00,5.5795004486e+06,5.6185372256e+06
read,14,6.7064621449e+00,6.6598649025e+00,5.5794496699e+06,5.6184875441e+06
read,15,6.7064390182e+00,6.6597919464e+00,5.5794689101e+06,5.6185490930e+06
read,16,6.7064960003e+00,6.6598789692e+00,5.5794215039e+06,5.6184756770e+06
read,17,6.7065019608e+00,6.6599099636e+00,5.5794165452e+06,5.6184495293e+06
read,18,6.7065799236e+00,6.6598889828e+00,5.5793516854e+06,5.6184672292e+06
read,19,6.7065501213e+00,6.6599330902e+00,5.5793764787e+06,5.6184300192e+06
read,20,6.7065250874e+00,6.6599121094e+00,5.5793973053e+06,5.6184477191e+06
read,21,6.7065010071e+00,6.6599161625e+00,5.5794173386e+06,5.6184442998e+06
read,22,6.7065269947e+00,6.6600658894e+00,5.5793957185e+06,5.6183179899e+06
read,23,6.7065720558e+00,6.6600530148e+00,5.5793582308e+06,5.6183288507e+06
read,24,6.7065229416e+00,6.6600670815e+00,5.5793990904e+06,5.6183169843e+06
read,25,6.7064840794e+00,6.6600189209e+00,5.5794314215e+06,5.6183576120e+06
read,26,6.7065961361e+00,6.6601209641e+00,5.5793381979e+06,5.6182715302e+06
read,27,6.7065758705e+00,6.6600949764e+00,5.5793550573e+06,5.6182934526e+06
read,28,6.7065479755e+00,6.6600260735e+00,5.5793782638e+06,5.6183515781e+06
read,29,6.7065310478e+00,6.6599569321e+00,5.5793923465e+06,5.6184099059e+06
read,30,6.7065420151e+00,6.6600279808e+00,5.5793832225e+06,5.6183499691e+06
read,31,6.7065470219e+00,6.6600458622e+00,5.5793790572e+06,5.6183348845e+06
