access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.8141024399e+02,2.8139778304e+02,2.8813551269e+08,2.8814827200e+08
read,1,2.8141024804e+02,2.8139773393e+02,2.8813550854e+08,2.8814832229e+08
read,2,2.8141035199e+02,2.8139773107e+02,2.8813540211e+08,2.8814832522e+08
read,3,2.8141023088e+02,2.8139774513e+02,2.8813552612e+08,2.8814831082e+08
read,4,2.8141021609e+02,2.8139778090e+02,2.8813554125e+08,2.8814827420e+08
read,5,2.8141026998e+02,2.8139775801e+02,2.8813548608e+08,2.8814829763e+08
read,6,2.8141028810e+02,2.8139789200e+02,2.8813546753e+08,2.8814816043e+08
read,7,2.8141031313e+02,2.8139783096e+02,2.8813544190e+08,2.8814822293e+08
read,8,2.8141027689e+02,2.8139788699e+02,2.8813547900e+08,2.8814816556e+08
read,9,2.8141033292e+02,2.8139780807e+02,2.8813542164e+08,2.8814824637e+08
read,10,2.8141018009e+02,2.8139792204e+02,2.8813557811e+08,2.8814812967e+08
read,11,2.8141024590e+02,2.8139783716e+02,2.8813551074e+08,2.8814821658e+08
read,12,2.8141017699e+02,2.8139787221e+02,2.8813558129e+08,2.8814818069e+08
read,13,2.8141029596e+02,2.8139779115e+02,2.8813545947e+08,2.8814826370e+08
read,14,2.8141023803e+02,2.8139787722e+02,2.8813551879e+08,2.8814817557e+08
read,15,2.8141013718e+02,2.8139779115e+02,2.8813562206e+08,2.8814826370e+08
read,16,2.8141028190e+02,2.8139793086e+02,2.8813547388e+08,2.8814812063e+08
read,17,2.8141028905e+02,2.8139790821e+02,2.8813546655e+08,2.8814814383e+08
read,18,2.8141029716e+02,2.8139790416e+02,2.8813545825e+08,2.8814814798e+08
read,19,2.8141029215e+02,2.8139789605e+02,2.8813546338e+08,2.8814815628e+08
read,20,2.8141029811e+02,2.8139795685e+02,2.8813545728e+08,2.8814809402e+08
read,21,2.8141031218e+02,2.8139793205e+02,2.8813544287e+08,2.8814811941e+08
read,22,2.8141029501e+02,2.8139799118e+02,2.8813546045e+08,2.8814805887e+08
read,23,2.8141030478e+02,2.8139807296e+02,2.8813545044e+08,2.8814797513e+08
read,24,2.8141031313e+02,2.8139808893e+02,2.8813544190e+08,2.8814795877e+08
read,25,2.8141030478e+02,2.8139797282e+02,2.8813545044e+08,2.8814807767e+08
read,26,2.8141029382e+02,2.8139799213e+02,2.8813546167e+08,2.8814805789e+08
read,27,2.8141029000e+02,2.8139798188e+02,2.8813546558e+08,2.8814806839e+08
read,28,2.8141025805e+02,2.8139801192e+02,2.8813549829e+08,2.8814803763e+08
read,29,2.8141025591e+02,2.8139793801e+02,2.8813550049e+08,2.8814811331e+08
read,30,2.8141026402e+02,2.8139794302e+02,2.8813549219e+08,2.8814810818e+08
read,31,2.8141025996e+02,2.8139805317e+02,2.8813549634e+08,2.8814799539e+08
