access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,4.0143265009e+01,3.8469573021e+01,4.5476391011e+08,4.7454927951e+08
write,1,4.0142717838e+01,3.9754464865e+01,4.5477010883e+08,4.5921151806e+08
write,2,4.0143594980e+01,3.8744349003e+01,4.5476017205e+08,4.7118376305e+08
write,3,4.0143432140e+01,3.6535132170e+01,4.5476201676e+08,4.9967543775e+08
write,4,4.0143471956e+01,4.0110561132e+01,4.5476156571e+08,4.5513469881e+08
write,5,4.0143228054e+01,3.7100358009e+01,4.5476432875e+08,4.9206285706e+08
write,6,4.0143740892e+01,3.9997917891e+01,4.5475851912e+08,4.5641646173e+08
write,7,4.0143824100e+01,3.8431522131e+01,4.5475757652e+08,4.7501912877e+08
write,8,4.0143787861e+01,3.4511590958e+01,4.5475798705e+08,5.2897324213e+08
write,9,4.0143069983e+01,3.1702699900e+01,4.5476611948e+08,5.7584080276e+08
write,10,4.0143666983e+01,3.2090387106e+01,4.5475935639e+08,5.6888401189e+08
write,11,4.0143714905e+01,3.0256413937e+01,4.5475881351e+08,6.0336655224e+08
write,12,4.0143476009e+01,3.2586095095e+01,4.5476151980e+08,5.6023000323e+08
write,13,4.0143757820e+01,3.5116569042e+01,4.5475832735e+08,5.1986024426e+08
write,14,4.0143912077e+01,3.1819144011e+01,4.5475657990e+08,5.7373347800e+08
write,15,4.0143872023e+01,3.6283325911e+01,4.5475703364e+08,5.0314318497e+08
