access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.2609620094e+00,2.2364299297e+00,3.8595294550e+09,3.9018658067e+09
read,1,2.2609810829e+00,2.2364308834e+00,3.8594968963e+09,3.9018641429e+09
read,2,2.2609469891e+00,2.2364299297e+00,3.8595550954e+09,3.9018658067e+09
read,3,2.2609560490e+00,2.2364318371e+00,3.8595396297e+09,3.9018624790e+09
read,4,2.2609629631e+00,2.2364339828e+00,3.8595278270e+09,3.9018587353e+09
read,5,2.2609519958e+00,2.2364339828e+00,3.8595465485e+09,3.9018587353e+09
read,6,2.2609801292e+00,2.2364339828e+00,3.8594985242e+09,3.9018587353e+09
read,7,2.2609109879e+00,2.2364358902e+00,3.8596165523e+09,3.9018554076e+09
read,8,2.2608959675e+00,2.2364308834e+00,3.8596421938e+09,3.9018641429e+09
read,9,2.2609050274e+00,2.2364358902e+00,3.8596267275e+09,3.9018554076e+09
read,10,2.2608950138e+00,2.2364330292e+00,3.8596438219e+09,3.9018603992e+09
read,11,2.2609021664e+00,2.2364339828e+00,3.8596316116e+09,3.9018587353e+09
read,12,2.2608571053e+00,2.2364320755e+00,3.8597085378e+09,3.9018620631e+09
read,13,2.2608571053e+00,2.2364339828e+00,3.8597085378e+09,3.9018587353e+09
read,14,2.2608590126e+00,2.2364320755e+00,3.8597052816e+09,3.9018620631e+09
read,15,2.2608690262e+00,2.2364339828e+00,3.8596881867e+09,3.9018587353e+09
