access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,6.6681543112e+01,6.6642182827e+01,2.8649683718e+06,2.8666604828e+06
write,1,6.6681568146e+01,6.6642183781e+01,2.8649672962e+06,2.8666604418e+06
write,2,6.6681547165e+01,6.6642183781e+01,2.8649681977e+06,2.8666604418e+06
write,3,6.6681519985e+01,6.6642196894e+01,2.8649693655e+06,2.8666598777e+06
write,4,6.6681570053e+01,6.6642172813e+01,2.8649672143e+06,2.8666609136e+06
write,5,6.6682443857e+01,6.6642169952e+01,2.8649296719e+06,2.8666610366e+06
write,6,6.6681545973e+01,6.6642190933e+01,2.8649682489e+06,2.8666601341e+06
write,7,6.6681534767e+01,6.6642199993e+01,2.8649687304e+06,2.8666597444e+06
write,8,6.6681535006e+01,6.6642195940e+01,2.8649687201e+06,2.8666599188e+06
write,9,6.6681522846e+01,6.6642200947e+01,2.8649692425e+06,2.8666597034e+06
write,10,6.6681541920e+01,6.6642199993e+01,2.8649684230e+06,2.8666597444e+06
write,11,6.6681536913e+01,6.6642204046e+01,2.8649686382e+06,2.8666595701e+06
write,12,6.6681568861e+01,6.6642192841e+01,2.8649672655e+06,2.8666600521e+06
write,13,6.6681558847e+01,6.6642207861e+01,2.8649676957e+06,2.8666594060e+06
write,14,6.6681535006e+01,6.6642177820e+01,2.8649687201e+06,2.8666606982e+06
write,15,6.6681557894e+01,6.6642202854e+01,2.8649677367e+06,2.8666596214e+06
