runtime: 0.190076 rate: 845394.395617
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 10, 357, 20, 127, 33, 170, 371, 0.178s, 5
1, 0, 0, 4, 131, 0, 243, 16, 222, 147, 0.183s, 5
2, 0, 0, 0, 36424, 37052, 167, 630, 143, 6, 0.008s, 5
3, 0, 0, 3, 18245, 18526, 217, 368, 166, 89, 0.093s, 5
4, 0, 0, 0, 27476, 27789, 232, 373, 178, 63, 0.046s, 5
5, 0, 0, 16, 27479, 27789, 205, 365, 128, 58, 0.041s, 5
6, 0, 0, 14, 146, 0, 121, 5, 234, 151, 0.183s, 5
7, 0, 0, 10, 288, 1, 156, 18, 258, 306, 0.180s, 5
8, 0, 0, 1, 161, 0, 215, 27, 230, 188, 0.182s, 5
9, 0, 0, 16, 9371, 9281, 214, 89, 231, 183, 0.132s, 5
10, 0, 0, 9, 12444, 12465, 286, 110, 214, 91, 0.115s, 5
11, 0, 0, 7, 166, 0, 362, 30, 220, 196, 0.185s, 5
12, 0, 0, 0, 18263, 18526, 299, 380, 217, 119, 0.098s, 5
13, 0, 0, 1, 9180, 9263, 149, 173, 229, 91, 0.136s, 5
14, 0, 0, 8, 277, 0, 194, 14, 264, 291, 0.182s, 5
15, 0, 0, 13, 281, 0, 155, 9, 238, 290, 0.184s, 5
