runtime: 1.102823 rate: 1010731.025264
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 164, 4283, 22, 425, 320, 625, 4584, 1.020s, 5
1, 0, 0, 63, 64252, 64152, 544, 1796, 492, 1897, 0.623s, 5
2, 0, 0, 29, 63838, 64152, 548, 1981, 619, 1668, 0.593s, 5
3, 0, 0, 288, 4307, 0, 579, 145, 836, 4452, 1.019s, 5
4, 0, 0, 0, 186883, 192456, 740, 5574, 101, 4, 0.010s, 5
5, 0, 0, 0, 124848, 128304, 573, 3794, 437, 340, 0.258s, 5
6, 0, 0, 70, 125062, 128304, 437, 3760, 374, 520, 0.275s, 5
7, 0, 0, 345, 5445, 0, 433, 162, 850, 5607, 1.004s, 5
8, 0, 0, 260, 3069, 0, 514, 188, 782, 3257, 1.032s, 5
9, 0, 0, 0, 124809, 128322, 637, 3844, 399, 336, 0.256s, 5
10, 0, 0, 5, 87498, 88208, 690, 1777, 501, 1068, 0.477s, 5
11, 0, 0, 35, 63513, 64152, 653, 1944, 539, 1306, 0.596s, 5
12, 0, 0, 225, 3359, 0, 709, 174, 765, 3533, 1.031s, 5
13, 0, 0, 162, 3285, 0, 417, 84, 765, 3369, 1.033s, 5
14, 0, 0, 34, 125366, 128304, 561, 3847, 374, 911, 0.275s, 5
15, 0, 0, 0, 124840, 128304, 429, 3740, 430, 278, 0.259s, 5
