access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,1.1433208239e+03,1.1433177981e+03,1.3087005928e+06,1.3087040562e+06
write,1,1.1433199830e+03,3.4904529881e+02,1.3087015553e+06,4.2867348309e+06
write,2,1.1433199220e+03,1.1433177981e+03,1.3087016252e+06,1.3087040562e+06
write,3,1.1433200130e+03,3.0037723017e+02,1.3087015209e+06,4.9812851632e+06
write,4,1.1433199289e+03,9.3622192717e+02,1.3087016173e+06,1.5981943988e+06
write,5,1.1433199301e+03,3.0291383886e+02,1.3087016159e+06,4.9395717463e+06
write,6,1.1433199570e+03,4.0941314101e+02,1.3087015851e+06,3.6546570936e+06
write,7,1.1433199480e+03,1.1433177991e+03,1.3087015954e+06,1.3087040552e+06
write,8,1.1433199401e+03,4.4055565715e+02,1.3087016045e+06,3.3963123971e+06
write,9,1.1433199341e+03,1.1433177979e+03,1.3087016113e+06,1.3087040565e+06
write,10,1.1433200030e+03,3.5917083216e+02,1.3087015324e+06,4.1658857180e+06
write,11,1.1433199561e+03,1.1433177979e+03,1.3087015862e+06,1.3087040565e+06
write,12,1.1433199420e+03,3.0360877109e+02,1.3087016023e+06,4.9282655262e+06
write,13,1.1433199720e+03,3.5665775299e+02,1.3087015679e+06,4.1952393505e+06
write,14,1.1433199680e+03,1.1433177772e+03,1.3087015725e+06,1.3087040803e+06
write,15,1.1433199930e+03,4.6200079918e+02,1.3087015439e+06,3.2386624496e+06
