access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.7138985460e+03,2.7138319991e+03,1.5836780068e+05,1.5837168408e+05
read,1,2.7138985620e+03,2.7138319659e+03,1.5836779975e+05,1.5837168601e+05
read,2,2.7138985579e+03,2.7138319969e+03,1.5836779999e+05,1.5837168420e+05
read,3,2.7138985648e+03,2.7138320389e+03,1.5836779958e+05,1.5837168176e+05
read,4,2.7138985622e+03,2.7138320310e+03,1.5836779974e+05,1.5837168221e+05
read,5,2.7138985550e+03,2.7138320160e+03,1.5836780015e+05,1.5837168309e+05
read,6,2.7138985209e+03,2.7138320539e+03,1.5836780214e+05,1.5837168088e+05
read,7,2.7138985019e+03,2.7138320410e+03,1.5836780326e+05,1.5837168163e+05
read,8,2.7138985901e+03,2.7138320529e+03,1.5836779811e+05,1.5837168093e+05
read,9,2.7138985319e+03,2.7138319869e+03,1.5836780150e+05,1.5837168479e+05
read,10,2.7138985751e+03,2.7138319769e+03,1.5836779898e+05,1.5837168537e+05
read,11,2.7138985879e+03,2.7138320060e+03,1.5836779823e+05,1.5837168368e+05
read,12,2.7138986120e+03,2.7138320920e+03,1.5836779683e+05,1.5837167865e+05
read,13,2.7138985722e+03,2.7138320289e+03,1.5836779915e+05,1.5837168234e+05
read,14,2.7138985631e+03,2.7138320379e+03,1.5836779968e+05,1.5837168181e+05
read,15,2.7138985341e+03,2.7138320429e+03,1.5836780138e+05,1.5837168152e+05
read,16,2.7138986490e+03,2.7138320370e+03,1.5836779467e+05,1.5837168187e+05
read,17,2.7138985751e+03,2.7138320510e+03,1.5836779898e+05,1.5837168105e+05
read,18,2.7138986640e+03,2.7138320601e+03,1.5836779379e+05,1.5837168052e+05
read,19,2.7138985660e+03,2.7138322051e+03,1.5836779951e+05,1.5837167206e+05
read,20,2.7138986650e+03,2.7138320661e+03,1.5836779374e+05,1.5837168017e+05
read,21,2.7138986580e+03,2.7138321881e+03,1.5836779414e+05,1.5837167305e+05
read,22,2.7138986070e+03,2.7138322179e+03,1.5836779712e+05,1.5837167131e+05
read,23,2.7138986220e+03,2.7138321018e+03,1.5836779624e+05,1.5837167808e+05
read,24,2.7138986030e+03,2.7138320730e+03,1.5836779736e+05,1.5837167977e+05
read,25,2.7138986330e+03,2.7138321970e+03,1.5836779560e+05,1.5837167253e+05
read,26,2.7138986211e+03,2.7138322120e+03,1.5836779630e+05,1.5837167165e+05
read,27,2.7138985760e+03,2.7138322031e+03,1.5836779893e+05,1.5837167217e+05
read,28,2.7138986831e+03,2.7138323109e+03,1.5836779268e+05,1.5837166588e+05
read,29,2.7138986180e+03,2.7138322959e+03,1.5836779648e+05,1.5837166676e+05
read,30,2.7138986082e+03,2.7138322420e+03,1.5836779705e+05,1.5837166990e+05
read,31,2.7138986089e+03,2.7138321559e+03,1.5836779701e+05,1.5837167492e+05
