access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.4081923103e+02,3.1181689095e+02,2.3707925507e+08,2.5913018747e+08
write,1,3.4084050179e+02,3.1717644095e+02,2.3706445972e+08,2.5475148521e+08
write,2,3.4085263896e+02,3.3229424500e+02,2.3705601827e+08,2.4316150708e+08
write,3,3.4083756614e+02,3.3649531484e+02,2.3706650157e+08,2.4012568926e+08
write,4,3.4085371804e+02,3.3734430289e+02,2.3705526779e+08,2.3952136946e+08
write,5,3.4085246515e+02,3.3416884112e+02,2.3705613915e+08,2.4179743730e+08
write,6,3.4083773708e+02,3.1739398503e+02,2.3706638267e+08,2.5457687675e+08
write,7,3.4084408593e+02,3.2232978797e+02,2.3706196687e+08,2.5067856718e+08
write,8,3.4085242605e+02,3.2912323999e+02,2.3705616634e+08,2.4550429623e+08
write,9,3.4082890701e+02,3.3013039804e+02,2.3707252450e+08,2.4475531453e+08
write,10,3.4084321213e+02,3.2999178886e+02,2.3706257462e+08,2.4485812113e+08
write,11,3.4081612706e+02,3.1894831896e+02,2.3708141426e+08,2.5333624479e+08
write,12,3.4082116008e+02,3.2095123720e+02,2.3707791321e+08,2.5175528255e+08
write,13,3.4081523991e+02,3.1337214494e+02,2.3708203140e+08,2.5784413425e+08
write,14,3.4080887198e+02,3.0030724502e+02,2.3708646121e+08,2.6906167183e+08
write,15,3.4084037113e+02,3.3175419307e+02,2.3706455060e+08,2.4355734184e+08
write,16,3.4084496713e+02,3.2732362914e+02,2.3706135399e+08,2.4685406801e+08
write,17,3.4083340001e+02,3.3647362900e+02,2.3706939932e+08,2.4014116544e+08
write,18,3.4084622598e+02,3.3928748298e+02,2.3706047845e+08,2.3814957363e+08
write,19,3.4083202314e+02,3.3365836501e+02,2.3707035701e+08,2.4216737202e+08
write,20,3.4084765100e+02,3.3336061502e+02,2.3705948734e+08,2.4238367032e+08
write,21,3.4082248902e+02,3.2076937103e+02,2.3707698879e+08,2.5189801990e+08
write,22,3.4082967806e+02,3.2024827504e+02,2.3707198818e+08,2.5230789892e+08
write,23,3.4084704304e+02,3.2317125392e+02,2.3705991018e+08,2.5002585604e+08
write,24,3.4085272002e+02,3.4073393893e+02,2.3705596189e+08,2.3713860046e+08
write,25,3.4082548118e+02,3.3464383888e+02,2.3707490745e+08,2.4145422691e+08
write,26,3.4085285592e+02,3.3327713299e+02,2.3705586738e+08,2.4244438460e+08
write,27,3.4082883692e+02,3.3465852284e+02,2.3707257326e+08,2.4144363252e+08
write,28,3.4083612108e+02,3.1385536695e+02,2.3706750667e+08,2.5744714897e+08
write,29,3.4084918404e+02,3.2859878087e+02,2.3705842112e+08,2.4589613265e+08
write,30,3.4084879994e+02,3.2262435198e+02,2.3705868826e+08,2.5044969145e+08
write,31,3.4083970714e+02,3.1629161310e+02,2.3706501243e+08,2.5546415416e+08
