access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.2372274804e+02,3.0977875185e+02,4.3948993295e+08,4.5927258723e+08
write,1,3.2370793700e+02,3.0460568619e+02,4.3951004152e+08,4.6707233411e+08
write,2,3.2371422911e+02,3.0993084502e+02,4.3950149867e+08,4.5904720720e+08
write,3,3.2372350502e+02,3.1074221492e+02,4.3948890527e+08,4.5784860248e+08
write,4,3.2371937418e+02,3.0639483881e+02,4.3949451340e+08,4.6434492625e+08
write,5,3.2372296000e+02,3.0858562303e+02,4.3948964520e+08,4.6104833867e+08
write,6,3.2372223997e+02,3.2362916994e+02,4.3949062272e+08,4.3961701245e+08
write,7,3.2371830583e+02,3.2040051889e+02,4.3949596384e+08,4.4404699881e+08
write,8,3.2372474289e+02,3.1540039086e+02,4.3948722474e+08,4.5108659644e+08
write,9,3.2372382593e+02,3.0548213100e+02,4.3948846960e+08,4.6573227823e+08
write,10,3.2372098207e+02,3.0766188383e+02,4.3949233046e+08,4.6243261291e+08
write,11,3.2369652891e+02,3.0010589314e+02,4.3952553124e+08,4.7407562493e+08
write,12,3.2372646403e+02,3.1709875798e+02,4.3948488814e+08,4.4867059631e+08
write,13,3.2372132897e+02,3.1253353906e+02,4.3949185950e+08,4.5522438731e+08
write,14,3.2371797204e+02,3.1848894000e+02,4.3949641701e+08,4.4671218043e+08
write,15,3.2371145296e+02,3.1583429909e+02,4.3950526783e+08,4.5046687216e+08
