access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,3.2839548206e+02,3.2839273000e+02,4.3098854600e+08,4.3099215786e+08
read,1,3.2839548302e+02,3.2839269996e+02,4.3098854475e+08,4.3099219729e+08
read,2,3.2839549780e+02,3.2839272404e+02,4.3098852535e+08,4.3099216569e+08
read,3,3.2839550400e+02,3.2839270902e+02,4.3098851721e+08,4.3099218540e+08
read,4,3.2839547420e+02,3.2839267802e+02,4.3098855633e+08,4.3099222608e+08
read,5,3.2839553404e+02,3.2839263892e+02,4.3098847779e+08,4.3099227739e+08
read,6,3.2839547992e+02,3.2839266181e+02,4.3098854882e+08,4.3099224735e+08
read,7,3.2839551091e+02,3.2839266014e+02,4.3098850814e+08,4.3099224954e+08
read,8,3.2839546704e+02,3.2839278698e+02,4.3098856571e+08,4.3099208308e+08
read,9,3.2839548588e+02,3.2839278197e+02,4.3098854100e+08,4.3099208965e+08
read,10,3.2839545703e+02,3.2839278913e+02,4.3098857886e+08,4.3099208026e+08
read,11,3.2839546204e+02,3.2839278007e+02,4.3098857229e+08,4.3099209215e+08
read,12,3.2839545703e+02,3.2839280295e+02,4.3098857886e+08,4.3099206211e+08
read,13,3.2839545894e+02,3.2839279795e+02,4.3098857635e+08,4.3099206868e+08
read,14,3.2839549613e+02,3.2839280295e+02,4.3098852754e+08,4.3099206211e+08
read,15,3.2839560008e+02,3.2839279318e+02,4.3098839112e+08,4.3099207494e+08
