access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.5631259711e+03,2.5631243701e+03,3.1337737788e+05,3.1337757362e+05
read,1,2.5631259880e+03,2.5631243980e+03,3.1337737581e+05,3.1337757021e+05
read,2,2.5631259961e+03,2.5631243749e+03,3.1337737482e+05,3.1337757304e+05
read,3,2.5631259608e+03,2.5631243811e+03,3.1337737914e+05,3.1337757228e+05
read,4,2.5631259890e+03,2.5631243501e+03,3.1337737570e+05,3.1337757607e+05
read,5,2.5631259501e+03,2.5631243842e+03,3.1337738045e+05,3.1337757190e+05
read,6,2.5631259410e+03,2.5631243610e+03,3.1337738156e+05,3.1337757473e+05
read,7,2.5631259270e+03,2.5631243811e+03,3.1337738328e+05,3.1337757228e+05
read,8,2.5631259470e+03,2.5631244600e+03,3.1337738083e+05,3.1337756264e+05
read,9,2.5631259420e+03,2.5631244860e+03,3.1337738144e+05,3.1337755946e+05
read,10,2.5631259539e+03,2.5631244750e+03,3.1337737998e+05,3.1337756080e+05
read,11,2.5631259460e+03,2.5631244838e+03,3.1337738094e+05,3.1337755972e+05
read,12,2.5631259389e+03,2.5631244659e+03,3.1337738182e+05,3.1337756191e+05
read,13,2.5631259439e+03,2.5631244891e+03,3.1337738121e+05,3.1337755908e+05
read,14,2.5631259460e+03,2.5631244581e+03,3.1337738094e+05,3.1337756287e+05
read,15,2.5631259620e+03,2.5631244800e+03,3.1337737899e+05,3.1337756019e+05
