access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,1.8105794001e+02,1.8102566600e+02,1.6829760992e+07,1.6832761472e+07
read,1,1.8105798507e+02,1.8102566886e+02,1.6829756803e+07,1.6832761206e+07
read,2,1.8105794001e+02,1.8102566504e+02,1.6829760992e+07,1.6832761560e+07
read,3,1.8105798197e+02,1.8102566886e+02,1.6829757092e+07,1.6832761206e+07
read,4,1.8105803704e+02,1.8102566504e+02,1.6829751972e+07,1.6832761560e+07
read,5,1.8105803609e+02,1.8102566791e+02,1.6829752061e+07,1.6832761294e+07
read,6,1.8105784297e+02,1.8102566385e+02,1.6829770012e+07,1.6832761671e+07
read,7,1.8105785012e+02,1.8102566886e+02,1.6829769347e+07,1.6832761206e+07
read,8,1.8105790401e+02,1.8102566695e+02,1.6829764338e+07,1.6832761383e+07
read,9,1.8105786014e+02,1.8102567101e+02,1.6829768416e+07,1.6832761006e+07
read,10,1.8105790901e+02,1.8102567101e+02,1.6829763873e+07,1.6832761006e+07
read,11,1.8105785012e+02,1.8102567410e+02,1.6829769347e+07,1.6832760718e+07
read,12,1.8105778193e+02,1.8102566791e+02,1.6829775685e+07,1.6832761294e+07
read,13,1.8105784106e+02,1.8102567101e+02,1.6829770189e+07,1.6832761006e+07
read,14,1.8105780220e+02,1.8102567792e+02,1.6829773801e+07,1.6832760363e+07
read,15,1.8105779600e+02,1.8102567196e+02,1.6829774378e+07,1.6832760917e+07
