access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,7.9536257982e+02,7.9532852292e+02,4.6200505948e+05,4.6202484308e+05
write,1,7.9536258507e+02,7.9532851195e+02,4.6200505643e+05,4.6202484945e+05
write,2,7.9536259103e+02,7.9532850790e+02,4.6200505297e+05,4.6202485181e+05
write,3,7.9536259198e+02,7.9532850599e+02,4.6200505242e+05,4.6202485291e+05
write,4,7.9536258006e+02,7.9532850695e+02,4.6200505934e+05,4.6202485236e+05
write,5,7.9536257887e+02,7.9532850790e+02,4.6200506004e+05,4.6202485181e+05
write,6,7.9536259294e+02,7.9532847905e+02,4.6200505186e+05,4.6202486857e+05
write,7,7.9536258698e+02,7.9532848096e+02,4.6200505533e+05,4.6202486746e+05
write,8,7.9536259389e+02,7.9532851410e+02,4.6200505131e+05,4.6202484821e+05
write,9,7.9536278486e+02,7.9532849598e+02,4.6200494038e+05,4.6202485873e+05
write,10,7.9536258912e+02,7.9532848811e+02,4.6200505408e+05,4.6202486330e+05
write,11,7.9536258912e+02,7.9532849312e+02,4.6200505408e+05,4.6202486039e+05
write,12,7.9536256003e+02,7.9532850313e+02,4.6200507098e+05,4.6202485458e+05
write,13,7.9536255598e+02,7.9532847905e+02,4.6200507333e+05,4.6202486857e+05
write,14,7.9536255693e+02,7.9532846999e+02,4.6200507278e+05,4.6202487383e+05
write,15,7.9536254811e+02,7.9532845402e+02,4.6200507790e+05,4.6202488311e+05
