access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.3169007778e+02,3.2890312409e+02,1.0455092810e+08,1.0543683818e+08
write,1,3.3169030285e+02,3.2700319695e+02,1.0455085715e+08,1.0604943864e+08
write,2,3.3169007683e+02,3.3167151403e+02,1.0455092840e+08,1.0455677984e+08
write,3,3.3169014788e+02,3.2178809214e+02,1.0455090600e+08,1.0776814407e+08
write,4,3.3169007587e+02,3.3047470593e+02,1.0455092870e+08,1.0493543030e+08
write,5,3.3169007397e+02,3.2952860093e+02,1.0455092930e+08,1.0523670897e+08
write,6,3.3169010401e+02,3.3079548001e+02,1.0455091983e+08,1.0483367388e+08
write,7,3.3169008398e+02,3.3100149703e+02,1.0455092614e+08,1.0476842487e+08
write,8,3.3169011998e+02,3.2826503992e+02,1.0455091479e+08,1.0564178714e+08
write,9,3.3169012690e+02,3.3014963913e+02,1.0455091261e+08,1.0503875020e+08
write,10,3.3169010019e+02,3.3135677981e+02,1.0455092103e+08,1.0465609151e+08
write,11,3.3169009089e+02,3.2764608002e+02,1.0455092396e+08,1.0584135623e+08
write,12,3.3169050717e+02,3.1634131193e+02,1.0455079275e+08,1.0962370125e+08
write,13,3.3169014883e+02,3.2036620903e+02,1.0455090570e+08,1.0824645201e+08
write,14,3.3169043279e+02,3.2280326390e+02,1.0455081620e+08,1.0742922811e+08
write,15,3.3169045377e+02,3.1253439999e+02,1.0455080958e+08,1.1095900315e+08
