access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,3.1837116003e+02,3.1836918497e+02,1.0359578267e+08,1.0359642535e+08
read,1,3.1837115502e+02,3.1836918521e+02,1.0359578430e+08,1.0359642527e+08
read,2,3.1837110114e+02,3.1836918497e+02,1.0359580184e+08,1.0359642535e+08
read,3,3.1837116003e+02,3.1836918616e+02,1.0359578267e+08,1.0359642496e+08
read,4,3.1837121511e+02,3.1836918497e+02,1.0359576475e+08,1.0359642535e+08
read,5,3.1837140703e+02,3.1836918521e+02,1.0359570230e+08,1.0359642527e+08
read,6,3.1837116313e+02,3.1836918521e+02,1.0359578166e+08,1.0359642527e+08
read,7,3.1837116408e+02,3.1836918712e+02,1.0359578135e+08,1.0359642465e+08
read,8,3.1837115097e+02,3.1836918592e+02,1.0359578562e+08,1.0359642504e+08
read,9,3.1837115908e+02,3.1836918879e+02,1.0359578298e+08,1.0359642411e+08
read,10,3.1837115288e+02,3.1836918688e+02,1.0359578500e+08,1.0359642473e+08
read,11,3.1837115002e+02,3.1836919212e+02,1.0359578593e+08,1.0359642302e+08
read,12,3.1837116003e+02,3.1836918688e+02,1.0359578267e+08,1.0359642473e+08
read,13,3.1837109399e+02,3.1836918783e+02,1.0359580416e+08,1.0359642442e+08
read,14,3.1837093997e+02,3.1836918879e+02,1.0359585428e+08,1.0359642411e+08
read,15,3.1837107801e+02,3.1836918998e+02,1.0359580936e+08,1.0359642372e+08
