access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.2322117305e+02,3.1220462084e+02,1.0204130253e+08,1.0564196460e+08
write,1,3.2322116685e+02,3.1024928498e+02,1.0204130449e+08,1.0630776959e+08
write,2,3.2322113490e+02,3.1795957589e+02,1.0204131458e+08,1.0372988268e+08
write,3,3.2322112393e+02,3.2320121002e+02,1.0204131804e+08,1.0204760527e+08
write,4,3.2322113204e+02,3.2025786686e+02,1.0204131548e+08,1.0298547801e+08
write,5,3.2322120190e+02,3.1407291198e+02,1.0204129343e+08,1.0501354382e+08
write,6,3.2322117305e+02,3.2227951407e+02,1.0204130253e+08,1.0233945399e+08
write,7,3.2322118521e+02,3.1313868189e+02,1.0204129869e+08,1.0532684530e+08
write,8,3.2322119594e+02,3.1520294285e+02,1.0204129531e+08,1.0463706083e+08
write,9,3.2322120905e+02,3.1737645197e+02,1.0204129117e+08,1.0392046826e+08
write,10,3.2322115111e+02,3.1891226292e+02,1.0204130946e+08,1.0342001026e+08
write,11,3.2322114396e+02,3.1628703308e+02,1.0204131172e+08,1.0427841187e+08
write,12,3.2322114897e+02,3.1958940291e+02,1.0204131013e+08,1.0320088590e+08
write,13,3.2322117090e+02,3.2160539198e+02,1.0204130321e+08,1.0255396933e+08
write,14,3.2322123218e+02,3.2091859889e+02,1.0204128387e+08,1.0277344354e+08
write,15,3.2322116899e+02,3.1846883893e+02,1.0204130381e+08,1.0356400838e+08
