access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,7.0927253962e+01,7.0924248934e+01,4.9643642399e+07,4.9645745777e+07
read,1,7.0927253962e+01,7.0924252987e+01,4.9643642399e+07,4.9645742940e+07
read,2,7.0927253962e+01,7.0924248934e+01,4.9643642399e+07,4.9645745777e+07
read,3,7.0927253008e+01,7.0924254179e+01,4.9643643066e+07,4.9645742106e+07
read,4,7.0927253962e+01,7.0924249887e+01,4.9643642399e+07,4.9645745110e+07
read,5,7.0927253962e+01,7.0924256086e+01,4.9643642399e+07,4.9645740770e+07
read,6,7.0927234888e+01,7.0924250126e+01,4.9643655749e+07,4.9645744943e+07
read,7,7.0927654982e+01,7.0924257994e+01,4.9643361717e+07,4.9645739435e+07
read,8,7.0927258968e+01,7.0924251080e+01,4.9643638894e+07,4.9645744275e+07
read,9,7.0927248955e+01,7.0924257994e+01,4.9643645903e+07,4.9645739435e+07
read,10,7.0927258968e+01,7.0924251080e+01,4.9643638894e+07,4.9645744275e+07
read,11,7.0927259922e+01,7.0924257040e+01,4.9643638227e+07,4.9645740103e+07
read,12,7.0927264929e+01,7.0924252987e+01,4.9643634723e+07,4.9645742940e+07
read,13,7.0927251816e+01,7.0924260139e+01,4.9643643901e+07,4.9645737933e+07
read,14,7.0927262783e+01,7.0924252987e+01,4.9643636224e+07,4.9645742940e+07
read,15,7.0927268028e+01,7.0924263000e+01,4.9643632553e+07,4.9645735931e+07
read,16,7.0927263975e+01,7.0924247980e+01,4.9643635390e+07,4.9645746445e+07
read,17,7.0927267790e+01,7.0924253941e+01,4.9643632720e+07,4.9645742272e+07
read,18,7.0927260876e+01,7.0924249172e+01,4.9643637559e+07,4.9645745610e+07
read,19,7.0927261829e+01,7.0924255133e+01,4.9643636892e+07,4.9645741438e+07
read,20,7.0927260876e+01,7.0924248934e+01,4.9643637559e+07,4.9645745777e+07
read,21,7.0927262783e+01,7.0924256086e+01,4.9643636224e+07,4.9645740770e+07
read,22,7.0927249908e+01,7.0924250126e+01,4.9643645236e+07,4.9645744943e+07
read,23,7.0927251816e+01,7.0924260139e+01,4.9643643901e+07,4.9645737933e+07
read,24,7.0927248955e+01,7.0924250126e+01,4.9643645903e+07,4.9645744943e+07
read,25,7.0927258968e+01,7.0924257994e+01,4.9643638894e+07,4.9645739435e+07
read,26,7.0927258015e+01,7.0924250126e+01,4.9643639562e+07,4.9645744943e+07
read,27,7.0927258015e+01,7.0924257040e+01,4.9643639562e+07,4.9645740103e+07
read,28,7.0927258015e+01,7.0924252033e+01,4.9643639562e+07,4.9645743608e+07
read,29,7.0927248955e+01,7.0924260139e+01,4.9643645903e+07,4.9645737933e+07
read,30,7.0927226782e+01,7.0924252987e+01,4.9643661423e+07,4.9645742940e+07
read,31,7.0927227974e+01,7.0924263000e+01,4.9643660588e+07,4.9645735931e+07
