access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.0814109802e+02,2.0802060103e+02,7.4484273156e+05,7.4527418549e+05
read,1,2.0814110994e+02,2.0802093101e+02,7.4484268890e+05,7.4527300330e+05
read,2,2.0814103103e+02,2.0802084899e+02,7.4484297130e+05,7.4527329714e+05
read,3,2.0814095712e+02,2.0802079296e+02,7.4484323579e+05,7.4527349787e+05
read,4,2.0814127612e+02,2.0802067494e+02,7.4484209422e+05,7.4527392069e+05
read,5,2.0814115691e+02,2.0802081513e+02,7.4484252082e+05,7.4527341843e+05
read,6,2.0814100313e+02,2.0802073002e+02,7.4484307113e+05,7.4527372337e+05
read,7,2.0814113712e+02,2.0802099204e+02,7.4484259163e+05,7.4527278463e+05
read,8,2.0814121890e+02,2.0802087188e+02,7.4484229899e+05,7.4527321514e+05
read,9,2.0814113092e+02,2.0802093196e+02,7.4484261381e+05,7.4527299988e+05
read,10,2.0814102793e+02,2.0802080679e+02,7.4484298239e+05,7.4527344833e+05
read,11,2.0814095306e+02,2.0802086806e+02,7.4484325030e+05,7.4527322880e+05
read,12,2.0814112902e+02,2.0802087593e+02,7.4484262064e+05,7.4527320062e+05
read,13,2.0814108396e+02,2.0802096009e+02,7.4484278189e+05,7.4527289909e+05
read,14,2.0814135814e+02,2.0802095985e+02,7.4484180072e+05,7.4527289995e+05
read,15,2.0814132786e+02,2.0802087593e+02,7.4484190908e+05,7.4527320062e+05
read,16,2.0814109397e+02,2.0802108002e+02,7.4484274606e+05,7.4527246944e+05
read,17,2.0814112496e+02,2.0802109694e+02,7.4484263514e+05,7.4527240879e+05
read,18,2.0814117193e+02,2.0802116609e+02,7.4484246707e+05,7.4527216108e+05
read,19,2.0814105606e+02,2.0802109218e+02,7.4484288172e+05,7.4527242588e+05
read,20,2.0814106607e+02,2.0802117991e+02,7.4484284588e+05,7.4527211154e+05
read,21,2.0814111090e+02,2.0802110791e+02,7.4484268548e+05,7.4527236950e+05
read,22,2.0814110708e+02,2.0802115798e+02,7.4484269913e+05,7.4527219012e+05
read,23,2.0814107513e+02,2.0802115297e+02,7.4484281346e+05,7.4527220806e+05
read,24,2.0814131880e+02,2.0802127981e+02,7.4484194150e+05,7.4527175364e+05
read,25,2.0814097786e+02,2.0802131391e+02,7.4484316156e+05,7.4527163149e+05
read,26,2.0814110684e+02,2.0802124000e+02,7.4484269999e+05,7.4527189629e+05
read,27,2.0814107895e+02,2.0802114415e+02,7.4484279981e+05,7.4527223967e+05
read,28,2.0814117694e+02,2.0802138400e+02,7.4484244915e+05,7.4527138037e+05
read,29,2.0814110398e+02,2.0802151108e+02,7.4484271023e+05,7.4527092509e+05
read,30,2.0814118814e+02,2.0802149320e+02,7.4484240905e+05,7.4527098915e+05
read,31,2.0814115906e+02,2.0802119517e+02,7.4484251314e+05,7.4527205687e+05
read,32,2.0814119220e+02,2.0802087593e+02,7.4484239454e+05,7.4527320062e+05
read,33,2.0814129400e+02,2.0802110505e+02,7.4484203023e+05,7.4527237975e+05
read,34,2.0814118290e+02,2.0802110410e+02,7.4484242782e+05,7.4527238317e+05
read,35,2.0814107704e+02,2.0802094984e+02,7.4484280664e+05,7.4527293582e+05
read,36,2.0814111996e+02,2.0802103186e+02,7.4484265306e+05,7.4527264198e+05
read,37,2.0814119005e+02,2.0802095199e+02,7.4484240222e+05,7.4527292813e+05
read,38,2.0814113808e+02,2.0802106094e+02,7.4484258822e+05,7.4527253777e+05
read,39,2.0814126492e+02,2.0802100396e+02,7.4484213432e+05,7.4527274192e+05
read,40,2.0814127493e+02,2.0802110410e+02,7.4484209849e+05,7.4527238317e+05
read,41,2.0814123511e+02,2.0802093410e+02,7.4484224097e+05,7.4527299220e+05
read,42,2.0814114285e+02,2.0802112722e+02,7.4484257116e+05,7.4527230031e+05
read,43,2.0814106297e+02,2.0802109098e+02,7.4484285697e+05,7.4527243015e+05
read,44,2.0814118314e+02,2.0802098393e+02,7.4484242697e+05,7.4527281367e+05
read,45,2.0814124489e+02,2.0802118897e+02,7.4484220599e+05,7.4527207908e+05
read,46,2.0814159203e+02,2.0802107406e+02,7.4484096375e+05,7.4527249079e+05
read,47,2.0814136696e+02,2.0802098203e+02,7.4484176916e+05,7.4527282051e+05
read,48,2.0814109015e+02,2.0802112484e+02,7.4484275971e+05,7.4527230886e+05
read,49,2.0814109397e+02,2.0802119207e+02,7.4484274606e+05,7.4527206798e+05
read,50,2.0814105296e+02,2.0802127504e+02,7.4484289281e+05,7.4527177072e+05
read,51,2.0814104509e+02,2.0802116299e+02,7.4484292096e+05,7.4527217219e+05
read,52,2.0814111710e+02,2.0802122498e+02,7.4484266330e+05,7.4527195010e+05
read,53,2.0814114094e+02,2.0802119493e+02,7.4484257798e+05,7.4527205773e+05
read,54,2.0814099193e+02,2.0802129698e+02,7.4484311123e+05,7.4527169214e+05
read,55,2.0814091396e+02,2.0802128005e+02,7.4484339022e+05,7.4527175279e+05
read,56,2.0814131308e+02,2.0802130198e+02,7.4484196198e+05,7.4527167420e+05
read,57,2.0814097714e+02,2.0802134895e+02,7.4484316412e+05,7.4527150593e+05
read,58,2.0814104390e+02,2.0802139497e+02,7.4484292523e+05,7.4527134107e+05
read,59,2.0814099622e+02,2.0802124286e+02,7.4484309587e+05,7.4527188604e+05
read,60,2.0814112902e+02,2.0802144790e+02,7.4484262064e+05,7.4527115145e+05
read,61,2.0814103603e+02,2.0802162790e+02,7.4484295339e+05,7.4527050655e+05
read,62,2.0814114308e+02,2.0802157092e+02,7.4484257030e+05,7.4527071069e+05
read,63,2.0814111614e+02,2.0802135992e+02,7.4484266671e+05,7.4527146664e+05
read,64,2.0814113998e+02,2.0802087593e+02,7.4484258139e+05,7.4527320062e+05
read,65,2.0814118385e+02,2.0802096200e+02,7.4484242441e+05,7.4527289226e+05
read,66,2.0814111209e+02,2.0802105117e+02,7.4484268122e+05,7.4527257280e+05
read,67,2.0814101696e+02,2.0802100897e+02,7.4484302164e+05,7.4527272399e+05
read,68,2.0814134789e+02,2.0802101898e+02,7.4484183741e+05,7.4527268811e+05
read,69,2.0814119697e+02,2.0802101493e+02,7.4484237748e+05,7.4527270263e+05
read,70,2.0814107800e+02,2.0802105999e+02,7.4484280322e+05,7.4527254119e+05
read,71,2.0814118314e+02,2.0802112913e+02,7.4484242697e+05,7.4527229348e+05
read,72,2.0814128304e+02,2.0802116489e+02,7.4484206948e+05,7.4527216535e+05
read,73,2.0814122415e+02,2.0802101684e+02,7.4484228022e+05,7.4527269580e+05
read,74,2.0814108992e+02,2.0802106595e+02,7.4484276056e+05,7.4527251984e+05
read,75,2.0814105010e+02,2.0802108312e+02,7.4484290305e+05,7.4527245834e+05
read,76,2.0814116406e+02,2.0802105403e+02,7.4484249522e+05,7.4527256255e+05
read,77,2.0814117193e+02,2.0802122712e+02,7.4484246707e+05,7.4527194241e+05
read,78,2.0814146614e+02,2.0802115297e+02,7.4484141423e+05,7.4527220806e+05
