access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.2586445999e+02,3.2399282408e+02,3.0389173905e+07,3.0564725537e+07
write,1,3.2586452484e+02,3.2377287006e+02,3.0389167857e+07,3.0585489581e+07
write,2,3.2586447597e+02,3.2375428510e+02,3.0389172415e+07,3.0587245327e+07
write,3,3.2586453605e+02,3.2209582305e+02,3.0389166812e+07,3.0744738166e+07
write,4,3.2586448312e+02,3.2293142891e+02,3.0389171748e+07,3.0665184177e+07
write,5,3.2586457610e+02,3.2397358918e+02,3.0389163077e+07,3.0566540220e+07
write,6,3.2586455202e+02,3.2403210521e+02,3.0389165322e+07,3.0561020297e+07
write,7,3.2586458993e+02,3.2394711494e+02,3.0389161787e+07,3.0569038239e+07
write,8,3.2586459494e+02,3.2322655392e+02,3.0389161320e+07,3.0637185046e+07
write,9,3.2586458898e+02,3.2266215611e+02,3.0389161876e+07,3.0690775341e+07
write,10,3.2586460280e+02,3.2237094593e+02,3.0389160586e+07,3.0718499508e+07
write,11,3.2586456895e+02,3.2379879498e+02,3.0389163744e+07,3.0583040757e+07
write,12,3.2586457801e+02,3.2407165289e+02,3.0389162899e+07,3.0557290820e+07
write,13,3.2586460996e+02,3.2357840204e+02,3.0389159919e+07,3.0603871215e+07
write,14,3.2586457396e+02,3.2394088387e+02,3.0389163277e+07,3.0569626240e+07
write,15,3.2586459088e+02,3.2294968700e+02,3.0389161698e+07,3.0663450508e+07
write,16,3.2586612701e+02,3.1882756805e+02,3.0389018444e+07,3.1059898002e+07
write,17,3.2586592817e+02,3.1975517392e+02,3.0389036987e+07,3.0969793616e+07
write,18,3.2586613798e+02,3.2126877379e+02,3.0389017421e+07,3.0823885020e+07
write,19,3.2586599207e+02,3.2049783707e+02,3.0389031028e+07,3.0898029873e+07
write,20,3.2586613202e+02,3.1905420399e+02,3.0389017977e+07,3.1037835014e+07
write,21,3.2586628914e+02,3.1347297692e+02,3.0389003325e+07,3.1590447895e+07
write,22,3.2586618114e+02,3.1952391601e+02,3.0389013397e+07,3.0992208245e+07
write,23,3.2586599612e+02,3.2025264788e+02,3.0389030650e+07,3.0921685768e+07
