access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,9.6916886902e+02,9.6916045308e+02,1.8640347475e+07,1.8640509342e+07
write,1,9.6916860390e+02,8.9682110715e+02,1.8640352574e+07,2.0144089313e+07
write,2,9.6916915894e+02,5.5481314182e+02,1.8640341898e+07,3.2561673685e+07
write,3,9.6916875410e+02,5.6909565997e+02,1.8640349685e+07,3.1744477687e+07
write,4,9.6916875315e+02,5.4549287105e+02,1.8640349703e+07,3.3118021222e+07
write,5,9.6916918206e+02,5.2900504994e+02,1.8640341454e+07,3.4150230668e+07
write,6,9.6916878891e+02,3.0931296992e+02,1.8640349015e+07,5.8405712779e+07
write,7,9.6916918492e+02,3.0926786900e+02,1.8640341399e+07,5.8414230158e+07
write,8,9.6916869998e+02,7.0552068305e+02,1.8640350726e+07,2.5606116042e+07
write,9,9.6916912580e+02,6.6704154682e+02,1.8640342536e+07,2.7083237268e+07
write,10,9.6916904998e+02,3.0616867614e+02,1.8640343994e+07,5.9005528286e+07
write,11,9.6916867995e+02,3.0553595805e+02,1.8640351111e+07,5.9127719681e+07
write,12,9.6916918206e+02,5.9817894006e+02,1.8640341454e+07,3.0201070734e+07
write,13,9.6916880512e+02,5.5589255309e+02,1.8640348703e+07,3.2498446650e+07
write,14,9.6916921091e+02,3.0845408106e+02,1.8640340899e+07,5.8568343197e+07
write,15,9.6916884708e+02,3.1020306396e+02,1.8640347896e+07,5.8238123921e+07
write,16,9.6916865516e+02,3.5355566812e+02,1.8640351588e+07,5.1097029716e+07
write,17,9.6916907001e+02,3.5361672902e+02,1.8640343609e+07,5.1088206517e+07
write,18,9.6916873598e+02,6.0260171199e+02,1.8640350033e+07,2.9979411144e+07
write,19,9.6916917586e+02,5.8660913801e+02,1.8640341573e+07,3.0796732116e+07
