runtime: 3616.035809 rate: 1914.837509
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 322581, 8880, 788951, 803206, 7045, 14253, 81, 2, 0.006s, 5
1, 0, 284016, 2434, 601056, 612113, 5963, 13725, 6133, 2672, 2251.078s, 5
2, 0, 287088, 326, 600345, 612093, 6150, 13703, 6069, 1958, 2422.209s, 5
3, 0, 284344, 269, 598777, 612092, 6337, 13947, 5848, 634, 2342.664s, 5
4, 0, 259332, 298, 599022, 612092, 6244, 13797, 6113, 729, 2409.054s, 5
5, 0, 0, 1016, 16359, 0, 5700, 916, 7079, 17275, 3613.180s, 5
6, 0, 139536, 424, 302131, 306046, 6559, 7846, 6452, 3932, 2936.177s, 5
7, 0, 143544, 516, 303914, 306046, 6460, 7083, 6557, 4952, 3033.822s, 5
8, 0, 273244, 289, 599636, 612092, 5971, 13705, 6115, 1251, 2501.897s, 5
9, 0, 143544, 433, 304489, 306046, 6800, 7361, 6521, 5805, 3021.026s, 5
10, 0, 0, 1514, 18073, 0, 6437, 877, 7200, 18950, 3610.702s, 5
11, 0, 0, 1196, 16404, 0, 5970, 883, 7032, 17287, 3611.014s, 5
12, 0, 142008, 451, 302873, 306046, 5887, 7313, 6396, 4141, 2953.852s, 5
13, 0, 142008, 471, 303741, 306046, 5810, 7182, 6569, 4878, 2956.579s, 5
14, 0, 0, 953, 14553, 0, 5883, 490, 7184, 15043, 3613.234s, 5
15, 0, 135467, 516, 303743, 306046, 5772, 6953, 6624, 4651, 3041.685s, 5
16, 0, 270226, 265, 599498, 612092, 6422, 13523, 6102, 931, 2433.873s, 5
17, 0, 143544, 505, 309086, 306046, 6518, 7058, 6544, 10099, 3026.203s, 5
18, 0, 133874, 393, 302413, 306046, 6365, 7432, 6577, 3800, 2968.313s, 5
19, 0, 0, 1971, 39057, 0, 5912, 867, 7009, 39924, 3608.364s, 5
