runtime: 1151.902477 rate: 7438.686149
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 189427, 5657, 573327, 582406, 4194, 9075, 101, 0, 0.010s, 4
1, 0, 181746, 114, 487034, 499140, 4474, 12585, 3529, 481, 561.582s, 4
2, 0, 0, 835, 11847, 0, 4496, 57, 4029, 11904, 1150.712s, 4
3, 0, 0, 469, 12601, 0, 4696, 151, 3978, 12752, 1150.656s, 4
4, 0, 0, 1192, 12315, 0, 4537, 166, 4040, 12481, 1150.819s, 4
5, 0, 0, 539, 13028, 0, 4139, 178, 4053, 13206, 1150.477s, 4
6, 0, 257239, 67, 729740, 748710, 4012, 19067, 2574, 100, 343.616s, 4
7, 0, 173354, 139, 487840, 499173, 4119, 11675, 3384, 346, 545.208s, 4
8, 0, 173389, 125, 486833, 499140, 4589, 13205, 3518, 900, 554.304s, 4
9, 0, 79901, 627, 250399, 249570, 4166, 6386, 3737, 7216, 860.390s, 4
10, 0, 0, 667, 25440, 0, 4711, 103, 4041, 25543, 1149.370s, 4
11, 0, 99113, 323, 247598, 249570, 4025, 6829, 3980, 4858, 792.713s, 4
12, 0, 165636, 138, 488143, 499140, 4637, 12514, 3461, 1519, 630.358s, 4
13, 0, 162720, 102, 487883, 499140, 4827, 12538, 3457, 1283, 606.657s, 4
14, 0, 0, 560, 12290, 0, 4327, 170, 3999, 12460, 1150.527s, 4
15, 0, 178017, 161, 487816, 499140, 4394, 11795, 3198, 473, 570.989s, 4
16, 0, 169963, 33, 486209, 499141, 4099, 14023, 5182, 1094, 634.171s, 4
17, 0, 178934, 23, 487117, 499140, 4637, 12535, 4963, 514, 601.807s, 4
18, 0, 78129, 275, 250097, 249570, 4779, 6417, 5260, 6945, 935.590s, 4
19, 0, 82525, 61, 246530, 249570, 4218, 6248, 5234, 3209, 818.822s, 4
20, 0, 86261, 58, 249187, 249570, 4549, 6476, 5270, 6094, 833.538s, 4
21, 0, 93704, 290, 249246, 249570, 4372, 6772, 5264, 6449, 845.747s, 4
22, 0, 181758, 27, 487501, 499140, 4233, 12060, 4992, 423, 601.764s, 4
23, 0, 0, 186, 11847, 0, 4296, 181, 5473, 12028, 1150.611s, 4
24, 0, 0, 693, 14654, 0, 4169, 144, 5783, 14798, 1150.061s, 4
25, 0, 0, 431, 19459, 0, 3679, 411, 5766, 19870, 1149.659s, 4
26, 0, 83656, 190, 247849, 249570, 4576, 5884, 5225, 4164, 846.820s, 4
27, 0, 87214, 92, 245714, 249570, 4819, 6459, 5214, 2604, 815.202s, 4
28, 0, 76621, 150, 249807, 249570, 4051, 7384, 5304, 7622, 906.395s, 4
29, 0, 105987, 156, 247961, 249570, 4270, 5228, 5228, 3620, 821.647s, 4
30, 0, 0, 310, 13455, 0, 4833, 223, 5461, 13678, 1150.377s, 4
31, 0, 98361, 30, 247874, 249570, 4031, 5420, 5256, 3725, 798.051s, 4
