access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,5.4019819117e+02,4.9116356707e+02,9.3390641629e+06,1.0271416502e+07
write,1,5.4019824696e+02,3.6208902693e+02,9.3390631984e+06,1.3932887198e+07
write,2,5.4019818592e+02,5.4019341898e+02,9.3390642536e+06,9.3391466663e+06
write,3,5.4019818878e+02,4.1616030693e+02,9.3390642042e+06,1.2122601517e+07
write,4,5.4019818401e+02,5.4019342017e+02,9.3390642866e+06,9.3391466457e+06
write,5,5.4019825697e+02,4.8186206317e+02,9.3390630253e+06,1.0469688223e+07
write,6,5.4019819117e+02,3.7176669002e+02,9.3390641629e+06,1.3570192552e+07
write,7,5.4019817281e+02,5.4019329309e+02,9.3390644803e+06,9.3391488426e+06
write,8,5.4019842410e+02,4.6280841494e+02,9.3390601359e+06,1.0900721346e+07
write,9,5.4019822407e+02,4.7406057692e+02,9.3390635941e+06,1.0641985041e+07
write,10,5.4019822788e+02,5.4019327211e+02,9.3390635282e+06,9.3391492054e+06
write,11,5.4019820714e+02,3.7781301522e+02,9.3390638868e+06,1.3353022169e+07
write,12,5.4019824290e+02,5.4019344711e+02,9.3390632685e+06,9.3391461799e+06
write,13,5.4019830108e+02,3.9615664601e+02,9.3390622628e+06,1.2734724051e+07
write,14,5.4019828796e+02,4.9116359687e+02,9.3390624895e+06,1.0271415879e+07
write,15,5.4019822001e+02,4.6457834697e+02,9.3390636642e+06,1.0859192214e+07
write,16,5.4019850492e+02,3.0153700089e+02,9.3390587386e+06,1.6730767876e+07
write,17,5.4019850898e+02,3.1299239087e+02,9.3390586685e+06,1.6118428803e+07
write,18,5.4019850588e+02,4.4895172310e+02,9.3390587221e+06,1.1237167180e+07
write,19,5.4019850588e+02,3.6551289988e+02,9.3390587221e+06,1.3802373513e+07
write,20,5.4019850802e+02,4.4895173883e+02,9.3390586850e+06,1.1237166786e+07
write,21,5.4019854999e+02,3.9046402311e+02,9.3390579596e+06,1.2920385156e+07
write,22,5.4019857907e+02,3.6411397195e+02,9.3390574567e+06,1.3855402310e+07
write,23,5.4019857907e+02,3.6909166598e+02,9.3390574567e+06,1.3668543706e+07
write,24,5.4019858003e+02,4.4895167494e+02,9.3390574402e+06,1.1237168385e+07
write,25,5.4019858193e+02,3.0178554201e+02,9.3390574073e+06,1.6716988940e+07
write,26,5.4019858289e+02,3.1403181410e+02,9.3390573908e+06,1.6065077936e+07
write,27,5.4019859195e+02,3.7662087011e+02,9.3390572341e+06,1.3395289450e+07
write,28,5.4019854093e+02,4.4895168400e+02,9.3390581162e+06,1.1237168158e+07
write,29,5.4019906902e+02,4.1160491586e+02,9.3390489864e+06,1.2256767044e+07
write,30,5.4019856811e+02,3.8100555587e+02,9.3390576463e+06,1.3241133864e+07
write,31,5.4019856691e+02,4.1302272701e+02,9.3390576669e+06,1.2214692408e+07
