access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,3.3630454898e+02,3.3630117488e+02,2.0016524383e+08,2.0016725208e+08
read,1,3.3630458188e+02,3.3630115008e+02,2.0016522425e+08,2.0016726684e+08
read,2,3.3630458403e+02,3.3630118012e+02,2.0016522297e+08,2.0016724896e+08
read,3,3.3630454779e+02,3.3630114889e+02,2.0016524454e+08,2.0016726755e+08
read,4,3.3630459309e+02,3.3630111313e+02,2.0016521758e+08,2.0016728884e+08
read,5,3.3630456114e+02,3.3630110192e+02,2.0016523659e+08,2.0016729551e+08
read,6,3.3630462193e+02,3.3630111718e+02,2.0016520041e+08,2.0016728643e+08
read,7,3.3630458879e+02,3.3630110407e+02,2.0016522013e+08,2.0016729423e+08
read,8,3.3630468678e+02,3.3630137706e+02,2.0016516181e+08,2.0016713175e+08
read,9,3.3630455208e+02,3.3630136609e+02,2.0016524199e+08,2.0016713827e+08
read,10,3.3630457807e+02,3.3630137801e+02,2.0016522652e+08,2.0016713118e+08
read,11,3.3630465293e+02,3.3630136490e+02,2.0016518196e+08,2.0016713898e+08
read,12,3.3630455804e+02,3.3630139613e+02,2.0016523844e+08,2.0016712039e+08
read,13,3.3630464602e+02,3.3630138516e+02,2.0016518608e+08,2.0016712692e+08
read,14,3.3630469298e+02,3.3630139709e+02,2.0016515812e+08,2.0016711983e+08
read,15,3.3630467796e+02,3.3630138493e+02,2.0016516706e+08,2.0016712706e+08
