runtime: 1146.950137 rate: 4729.036445
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 204468, 5673, 620659, 632310, 2962, 11647, 25, 0, 0.002s, 4
1, 0, 210249, 710, 585618, 598975, 3215, 14109, 2361, 756, 470.240s, 4
2, 0, 211566, 515, 584077, 598958, 3403, 15640, 2320, 761, 522.622s, 4
3, 0, 0, 1880, 16727, 0, 3110, 207, 2932, 16934, 1145.307s, 4
4, 0, 0, 1831, 17485, 0, 3080, 283, 2969, 17768, 1145.186s, 4
5, 0, 206721, 496, 584953, 598958, 2916, 14646, 2333, 643, 503.464s, 4
6, 0, 118454, 1182, 299861, 299479, 2841, 6732, 2678, 7115, 791.235s, 4
7, 0, 0, 1856, 20019, 0, 2808, 479, 3035, 20498, 1145.084s, 4
8, 0, 209975, 45, 584603, 598959, 3102, 14661, 3349, 308, 485.581s, 4
9, 0, 201169, 66, 584115, 598958, 2654, 14966, 3379, 125, 464.269s, 4
10, 0, 95898, 436, 300243, 299479, 3244, 7807, 3795, 8572, 803.220s, 4
11, 0, 202822, 42, 584476, 598958, 3092, 14747, 3415, 267, 514.720s, 4
12, 0, 0, 617, 17420, 0, 3037, 306, 4125, 17726, 1145.224s, 4
13, 0, 0, 967, 19913, 0, 3068, 165, 4144, 20078, 1145.351s, 4
14, 0, 101940, 554, 304375, 299479, 3152, 7829, 3852, 12726, 873.064s, 4
15, 0, 113656, 442, 299425, 299479, 2836, 6646, 3808, 6593, 779.458s, 4
