access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,1.5760900497e+02,1.5760794806e+02,6.8136529342e+07,6.8136986262e+07
read,1,1.5760948992e+02,1.5760793996e+02,6.8136319695e+07,6.8136989766e+07
read,2,1.5760905218e+02,1.5760794592e+02,6.8136508934e+07,6.8136987189e+07
read,3,1.5760899305e+02,1.5760794091e+02,6.8136534496e+07,6.8136989354e+07
read,4,1.5760902691e+02,1.5760789013e+02,6.8136519859e+07,6.8137011308e+07
read,5,1.5760899401e+02,1.5760788393e+02,6.8136534083e+07,6.8137013988e+07
read,6,1.5760903406e+02,1.5760792303e+02,6.8136516767e+07,6.8136997084e+07
read,7,1.5760903192e+02,1.5760789490e+02,6.8136517695e+07,6.8137009247e+07
read,8,1.5760895681e+02,1.5760795879e+02,6.8136550162e+07,6.8136981623e+07
read,9,1.5760895014e+02,1.5760796094e+02,6.8136553048e+07,6.8136980696e+07
read,10,1.5760896683e+02,1.5760796404e+02,6.8136545833e+07,6.8136979356e+07
read,11,1.5760894489e+02,1.5760796189e+02,6.8136555316e+07,6.8136980283e+07
read,12,1.5760897279e+02,1.5760796595e+02,6.8136543257e+07,6.8136978531e+07
read,13,1.5760894585e+02,1.5760796499e+02,6.8136554904e+07,6.8136978943e+07
read,14,1.5760901499e+02,1.5760797381e+02,6.8136525013e+07,6.8136975130e+07
read,15,1.5760937786e+02,1.5760797310e+02,6.8136368138e+07,6.8136975439e+07
