access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.6056203127e+01,2.5960232973e+01,9.4731680283e+07,9.5081885689e+07
read,1,2.6056170225e+01,2.5960232019e+01,9.4731799903e+07,9.5081889182e+07
read,2,2.6056126118e+01,2.5960233212e+01,9.4731960263e+07,9.5081884815e+07
read,3,2.6056187153e+01,2.5960230112e+01,9.4731738359e+07,9.5081896167e+07
read,4,2.6056147099e+01,2.5960227013e+01,9.4731883984e+07,9.5081907519e+07
read,5,2.6056204081e+01,2.5960227013e+01,9.4731676815e+07,9.5081907519e+07
read,6,2.6056347132e+01,2.5960227966e+01,9.4731156732e+07,9.5081904027e+07
read,7,2.6056368113e+01,2.5960227966e+01,9.4731080454e+07,9.5081904027e+07
read,8,2.6056321144e+01,2.5960234165e+01,9.4731251213e+07,9.5081881323e+07
read,9,2.6056368828e+01,2.5960237026e+01,9.4731077853e+07,9.5081870844e+07
read,10,2.6056381226e+01,2.5960237026e+01,9.4731032780e+07,9.5081870844e+07
read,11,2.6056347847e+01,2.5960231066e+01,9.4731154132e+07,9.5081892675e+07
read,12,2.6056046009e+01,2.5960241795e+01,9.4732251514e+07,9.5081853379e+07
read,13,2.6056022882e+01,2.5960240841e+01,9.4732335596e+07,9.5081856872e+07
read,14,2.6056020021e+01,2.5960242033e+01,9.4732345998e+07,9.5081852506e+07
read,15,2.6056024075e+01,2.5960244894e+01,9.4732331262e+07,9.5081842027e+07
