access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,4.3581480980e+00,4.1227099895e+00,7.2159897491e+06,7.6280776673e+06
read,1,4.3585779667e+00,4.1227099895e+00,7.2152780655e+06,7.6280776673e+06
read,2,4.3585989475e+00,4.1227090359e+00,7.2152433336e+06,7.6280794318e+06
read,3,4.3585860729e+00,4.1227090359e+00,7.2152646463e+06,7.6280794318e+06
read,4,4.3585679531e+00,4.1227099895e+00,7.2152946423e+06,7.6280776673e+06
read,5,4.3585941792e+00,4.1227090359e+00,7.2152512272e+06,7.6280794318e+06
read,6,4.3584680557e+00,4.1227099895e+00,7.2154600190e+06,7.6280776673e+06
read,7,4.3585371971e+00,4.1227109432e+00,7.2153455570e+06,7.6280759028e+06
read,8,4.3585450649e+00,4.1227121353e+00,7.2153325322e+06,7.6280736971e+06
read,9,4.3584301472e+00,4.1227130890e+00,7.2155227773e+06,7.6280719325e+06
read,10,4.3584680557e+00,4.1227221489e+00,7.2154600190e+06,7.6280551694e+06
read,11,4.3585062027e+00,4.1227121353e+00,7.2153968671e+06,7.6280736971e+06
read,12,4.3584890366e+00,4.1227319241e+00,7.2154252853e+06,7.6280370830e+06
read,13,4.3584430218e+00,4.1227319241e+00,7.2155014630e+06,7.6280370830e+06
read,14,4.3585600853e+00,4.1227309704e+00,7.2153076669e+06,7.6280388475e+06
read,15,4.3585269451e+00,4.1227309704e+00,7.2153625287e+06,7.6280388475e+06
