access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,8.3594561481e+02,8.3450731516e+02,3.7620093272e+04,3.7684932689e+04
write,1,8.3594567990e+02,8.3450726914e+02,3.7620090343e+04,3.7684934767e+04
write,2,8.3594565487e+02,8.3450708413e+02,3.7620091470e+04,3.7684943122e+04
write,3,8.3594566488e+02,8.3450712895e+02,3.7620091019e+04,3.7684941097e+04
write,4,8.3594560003e+02,8.3450704598e+02,3.7620093938e+04,3.7684944844e+04
write,5,8.3594563699e+02,8.3450699806e+02,3.7620092275e+04,3.7684947008e+04
write,6,8.3594553399e+02,8.3450674605e+02,3.7620096910e+04,3.7684958389e+04
write,7,8.3594557405e+02,8.3450669408e+02,3.7620095107e+04,3.7684960736e+04
write,8,8.3594555092e+02,8.3450718021e+02,3.7620096148e+04,3.7684938783e+04
write,9,8.3594558692e+02,8.3450722694e+02,3.7620094528e+04,3.7684936672e+04
write,10,8.3594549394e+02,8.3450693798e+02,3.7620098712e+04,3.7684949721e+04
write,11,8.3594552803e+02,8.3450689197e+02,3.7620097178e+04,3.7684951799e+04
write,12,8.3594542003e+02,8.3450684404e+02,3.7620102038e+04,3.7684953963e+04
write,13,8.3594543791e+02,8.3450680113e+02,3.7620101234e+04,3.7684955901e+04
write,14,8.3594550490e+02,8.3450662804e+02,3.7620098219e+04,3.7684963718e+04
write,15,8.3594544911e+02,8.3450657296e+02,3.7620100729e+04,3.7684966205e+04
