access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,3.4160611868e+01,3.3006486893e+01,1.0019001057e+08,1.0369331565e+08
read,1,3.4160605907e+01,3.3006483078e+01,1.0019002805e+08,1.0369332764e+08
read,2,3.4160619020e+01,3.3006484985e+01,1.0018998959e+08,1.0369332165e+08
read,3,3.4160604000e+01,3.3006484985e+01,1.0019003364e+08,1.0369332165e+08
read,4,3.4160594940e+01,3.3006482840e+01,1.0019006021e+08,1.0369332839e+08
read,5,3.4160632849e+01,3.3006478071e+01,1.0018994903e+08,1.0369334337e+08
read,6,3.4160572052e+01,3.3006485939e+01,1.0019012734e+08,1.0369331865e+08
read,7,3.4160573006e+01,3.3006479025e+01,1.0019012455e+08,1.0369334037e+08
read,8,3.4160584927e+01,3.3006487846e+01,1.0019008958e+08,1.0369331266e+08
read,9,3.4160635948e+01,3.3006487131e+01,1.0018993994e+08,1.0369331491e+08
read,10,3.4160625935e+01,3.3006489992e+01,1.0018996931e+08,1.0369330592e+08
read,11,3.4160588980e+01,3.3006487131e+01,1.0019007770e+08,1.0369331491e+08
read,12,3.4160562038e+01,3.3006492138e+01,1.0019015671e+08,1.0369329918e+08
read,13,3.4160583019e+01,3.3006489038e+01,1.0019009518e+08,1.0369330891e+08
read,14,3.4160578012e+01,3.3006491899e+01,1.0019010986e+08,1.0369329992e+08
read,15,3.4160563946e+01,3.3006492138e+01,1.0019015112e+08,1.0369329918e+08
