runtime: 2.895432 rate: 344172.826894
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 217, 4190, 20, 686, 57, 1023, 4228, 2.873s, 6
1, 0, 0, 0, 233430, 240120, 993, 6690, 108, 4, 0.005s, 6
2, 0, 0, 0, 175233, 180090, 956, 5068, 623, 214, 0.540s, 6
3, 0, 0, 0, 59684, 60030, 873, 1725, 953, 1380, 2.120s, 6
4, 0, 0, 19, 2509, 0, 949, 67, 1034, 2576, 2.881s, 6
5, 0, 0, 42, 2860, 0, 905, 101, 1023, 2961, 2.880s, 6
6, 0, 0, 114, 2729, 0, 761, 48, 1048, 2777, 2.880s, 6
7, 0, 0, 32, 2500, 0, 799, 105, 1036, 2605, 2.881s, 6
8, 0, 0, 59, 3170, 0, 838, 93, 1078, 3263, 2.879s, 6
9, 0, 0, 50, 2333, 0, 925, 77, 998, 2410, 2.883s, 6
10, 0, 0, 0, 116956, 120079, 1088, 3428, 858, 311, 1.462s, 6
11, 0, 0, 0, 117000, 120060, 1071, 3440, 841, 382, 1.483s, 6
12, 0, 0, 0, 117095, 120060, 1068, 3516, 853, 553, 1.497s, 6
13, 0, 0, 34, 1939, 0, 838, 43, 1032, 1982, 2.884s, 6
14, 0, 0, 105, 37701, 36033, 891, 638, 953, 2308, 2.397s, 6
15, 0, 0, 0, 117200, 120060, 700, 3399, 880, 541, 1.516s, 6
