runtime: 2.015102 rate: 498841.781624
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 66, 118876, 121552, 367, 3607, 274, 934, 0.660s, 5
1, 0, 0, 1, 118295, 121532, 475, 3579, 327, 344, 0.547s, 5
2, 0, 0, 54, 2775, 0, 446, 41, 647, 2816, 2.001s, 5
3, 0, 0, 0, 176905, 182298, 556, 5398, 109, 8, 0.005s, 5
4, 0, 0, 54, 3403, 0, 619, 117, 687, 3520, 1.998s, 5
5, 0, 0, 3, 60494, 60766, 493, 1864, 444, 1593, 1.243s, 5
6, 0, 0, 90, 3801, 0, 329, 68, 731, 3869, 1.997s, 5
7, 0, 0, 0, 118354, 121550, 384, 3604, 358, 413, 0.542s, 5
8, 0, 0, 6, 118277, 121532, 465, 3604, 349, 351, 0.536s, 5
9, 0, 0, 14, 34814, 32945, 547, 685, 575, 2556, 1.579s, 5
10, 0, 0, 10, 61551, 60766, 589, 1849, 545, 2635, 1.275s, 5
11, 0, 0, 78, 2603, 0, 547, 184, 596, 2787, 2.002s, 5
12, 0, 0, 53, 60514, 60766, 648, 1879, 379, 1628, 1.211s, 5
13, 0, 0, 122, 61313, 60767, 345, 1816, 515, 2364, 1.213s, 5
14, 0, 0, 47, 2736, 0, 461, 115, 633, 2851, 2.001s, 5
15, 0, 0, 42, 60506, 60766, 364, 1818, 466, 1559, 1.283s, 5
