access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.0173251200e+02,3.0039623284e+02,9.1230530544e+07,9.1636359389e+07
write,1,3.0173211813e+02,3.0051587796e+02,9.1230649633e+07,9.1599875982e+07
write,2,3.0173248196e+02,3.0149879694e+02,9.1230539627e+07,9.1301250391e+07
write,3,3.0173247695e+02,3.0015904093e+02,9.1230541141e+07,9.1708772346e+07
write,4,3.0178055978e+02,3.0118333793e+02,9.1216005339e+07,9.1396879195e+07
write,5,3.0173253322e+02,3.0073922491e+02,9.1230524129e+07,9.1531848432e+07
write,6,3.0173258305e+02,3.0138712597e+02,9.1230509062e+07,9.1335079637e+07
write,7,3.0178163695e+02,3.0106937099e+02,9.1215679754e+07,9.1431476613e+07
write,8,3.0173639297e+02,3.0042221308e+02,9.1229357124e+07,9.1628434762e+07
write,9,3.0173259211e+02,3.0094735718e+02,9.1230506323e+07,9.1468545895e+07
write,10,3.0173249698e+02,3.0150072312e+02,9.1230535086e+07,9.1300667099e+07
write,11,3.0178209496e+02,3.0067255497e+02,9.1215541320e+07,9.1552144341e+07
write,12,3.0173254704e+02,3.0090638590e+02,9.1230519948e+07,9.1481000211e+07
write,13,3.0173260212e+02,3.0104356503e+02,9.1230503295e+07,9.1439314269e+07
write,14,3.0173244596e+02,3.0157794189e+02,9.1230550513e+07,9.1277289642e+07
write,15,3.0173255992e+02,3.0164288902e+02,9.1230516055e+07,9.1257636609e+07
