access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,8.6052522950e+03,1.6391271751e+03,1.6289801995e+04,8.5519816967e+04
write,1,8.6052521410e+03,7.7143421819e+03,1.6289802286e+04,1.8171070546e+04
write,2,8.6052524779e+03,1.4390588970e+03,1.6289801649e+04,9.7409394633e+04
write,3,8.6052523751e+03,3.6229864330e+03,1.6289801843e+04,3.8691245079e+04
write,4,8.6052521362e+03,1.1284382451e+03,1.6289802295e+04,1.2422288647e+05
write,5,8.6052522440e+03,6.4584526629e+03,1.6289802091e+04,2.1704557317e+04
write,6,8.6052525070e+03,6.7279514930e+03,1.6289801593e+04,2.0835146648e+04
write,7,8.6052524531e+03,6.6353460860e+03,1.6289801695e+04,2.1125929858e+04
write,8,8.6052520812e+03,8.1453431671e+03,1.6289802400e+04,1.7209570318e+04
write,9,8.6052520170e+03,5.1254942601e+03,1.6289802521e+04,2.7349139202e+04
write,10,8.6052523839e+03,8.0555360391e+03,1.6289801826e+04,1.7401431180e+04
write,11,8.6052521739e+03,7.3649882791e+03,1.6289802224e+04,1.9033004628e+04
write,12,8.6052523532e+03,3.0938181870e+03,1.6289801885e+04,4.5309015439e+04
write,13,8.6052521641e+03,3.5105552931e+03,1.6289802242e+04,3.9930393997e+04
write,14,8.6052524970e+03,1.9963764129e+03,1.6289801612e+04,7.0216145160e+04
write,15,8.6052523968e+03,5.7971836030e+03,1.6289801802e+04,2.4180337488e+04
write,16,8.6052521949e+03,5.0693722360e+03,1.6289802184e+04,2.7651916149e+04
write,17,8.6052520790e+03,7.3812629359e+03,1.6289802404e+04,1.8991039503e+04
write,18,8.6052524190e+03,4.3712988029e+03,1.6289801760e+04,3.2067781756e+04
write,19,8.6052522969e+03,2.8411226380e+03,1.6289801991e+04,4.9338896578e+04
write,20,8.6052524610e+03,8.5224829021e+03,1.6289801681e+04,1.6448006715e+04
write,21,8.6052522402e+03,5.1228802378e+03,1.6289802098e+04,2.7363094488e+04
write,22,8.6052525129e+03,5.3353607020e+03,1.6289801582e+04,2.6273360665e+04
write,23,8.6052523258e+03,7.3698877220e+03,1.6289801936e+04,1.9020351637e+04
write,24,8.6052520120e+03,3.7654295499e+03,1.6289802530e+04,3.7227586957e+04
write,25,8.6052519641e+03,8.6052427869e+03,1.6289802621e+04,1.6289819994e+04
write,26,8.6052521889e+03,6.8243899169e+03,1.6289802196e+04,2.0540716124e+04
write,27,8.6052520308e+03,4.5302461910e+03,1.6289802495e+04,3.0942657438e+04
write,28,8.6052520750e+03,4.7255182559e+03,1.6289802411e+04,2.9664017449e+04
write,29,8.6052519908e+03,7.5660757089e+03,1.6289802571e+04,1.8527154815e+04
write,30,8.6052524309e+03,7.6237860799e+02,1.6289801737e+04,1.8386908359e+05
write,31,8.6052523530e+03,6.1545332401e+03,1.6289801885e+04,2.2776358585e+04
