access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,8.9937034845e+01,8.7941989899e+01,1.0798502326e+06,1.1043476286e+06
read,1,8.9936773062e+01,8.7941951990e+01,1.0798533758e+06,1.1043481047e+06
read,2,8.9937251091e+01,8.7941945791e+01,1.0798476362e+06,1.1043481825e+06
read,3,8.9937155008e+01,8.7942044020e+01,1.0798487899e+06,1.1043469490e+06
read,4,8.9937201023e+01,8.7941995144e+01,1.0798482374e+06,1.1043475627e+06
read,5,8.9937193871e+01,8.7941986084e+01,1.0798483233e+06,1.1043476765e+06
read,6,8.9937203884e+01,8.7941974878e+01,1.0798482030e+06,1.1043478172e+06
read,7,8.9937371969e+01,8.7942011118e+01,1.0798461849e+06,1.1043473621e+06
read,8,8.9937320948e+01,8.7941928864e+01,1.0798467975e+06,1.1043483951e+06
read,9,8.9937290907e+01,8.7941973925e+01,1.0798471582e+06,1.1043478292e+06
read,10,8.9937291861e+01,8.7941903830e+01,1.0798471467e+06,1.1043487094e+06
read,11,8.9937298059e+01,8.7942052126e+01,1.0798470723e+06,1.1043468472e+06
read,12,8.9937073946e+01,8.7941931009e+01,1.0798497632e+06,1.1043483681e+06
read,13,8.9937184095e+01,8.7941903114e+01,1.0798484406e+06,1.1043487184e+06
read,14,8.9937100887e+01,8.7941931009e+01,1.0798494397e+06,1.1043483681e+06
read,15,8.9937121153e+01,8.7941972017e+01,1.0798491964e+06,1.1043478532e+06
read,16,8.9937356949e+01,8.7942246914e+01,1.0798463652e+06,1.1043444011e+06
read,17,8.9937364817e+01,8.7942269087e+01,1.0798462708e+06,1.1043441227e+06
read,18,8.9937314987e+01,8.7942292929e+01,1.0798468691e+06,1.1043438233e+06
read,19,8.9937531948e+01,8.7942404985e+01,1.0798442641e+06,1.1043424161e+06
read,20,8.9937384129e+01,8.7942295074e+01,1.0798460389e+06,1.1043437963e+06
read,21,8.9937515020e+01,8.7942260027e+01,1.0798444673e+06,1.1043442364e+06
read,22,8.9937484980e+01,8.7942219973e+01,1.0798448280e+06,1.1043447394e+06
read,23,8.9937510967e+01,8.7942348957e+01,1.0798445160e+06,1.1043431197e+06
read,24,8.9937483072e+01,8.7942219973e+01,1.0798448509e+06,1.1043447394e+06
read,25,8.9937562943e+01,8.7942241907e+01,1.0798438919e+06,1.1043444640e+06
read,26,8.9937469959e+01,8.7942218065e+01,1.0798450084e+06,1.1043447634e+06
read,27,8.9937407970e+01,8.7942312002e+01,1.0798457526e+06,1.1043435838e+06
read,28,8.9936861992e+01,8.7942196131e+01,1.0798523080e+06,1.1043450388e+06
read,29,8.9937285185e+01,8.7942192078e+01,1.0798472269e+06,1.1043450897e+06
read,30,8.9937275887e+01,8.7942204952e+01,1.0798473385e+06,1.1043449280e+06
read,31,8.9937274933e+01,8.7942288876e+01,1.0798473500e+06,1.1043438742e+06
