access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,3.8105026007e+01,3.0721670866e+01,1.9796484964e+08,2.4554184494e+08
write,1,3.8105050087e+01,3.1977821827e+01,1.9796472454e+08,2.3589648428e+08
write,2,3.8105792999e+01,3.1290113211e+01,1.9796086501e+08,2.4108112659e+08
write,3,3.8104881048e+01,3.2949414015e+01,1.9796560274e+08,2.2894051289e+08
write,4,3.8106652021e+01,3.0240166187e+01,1.9795640246e+08,2.4945153070e+08
write,5,3.8103921175e+01,3.1895174980e+01,1.9797058968e+08,2.3650773977e+08
write,6,3.8105151892e+01,3.1377146959e+01,1.9796419564e+08,2.4041241716e+08
write,7,3.8109132051e+01,3.0617918015e+01,1.9794352004e+08,2.4637389585e+08
write,8,3.8104413986e+01,3.7851476908e+01,1.9796802929e+08,1.9929092232e+08
write,9,3.8104251146e+01,3.7538043022e+01,1.9796887531e+08,2.0095495494e+08
write,10,3.8104498863e+01,3.7671998024e+01,1.9796758832e+08,2.0024039445e+08
write,11,3.8104292154e+01,3.7475785971e+01,1.9796866226e+08,2.0128879351e+08
write,12,3.8104480028e+01,3.7362593889e+01,1.9796768617e+08,2.0189860924e+08
write,13,3.8104470015e+01,3.7719236135e+01,1.9796773820e+08,1.9998962113e+08
write,14,3.8104363918e+01,3.7679790974e+01,1.9796828941e+08,2.0019898065e+08
write,15,3.8104125977e+01,3.7613723040e+01,1.9796952563e+08,2.0055062712e+08
