,vendor,nodes,threads,obj_size,operation,Throughput (GiB/s),kIOPS
0,pure,1,1,10KiB,get,0.01798828125,1.88587
1,pure,1,1,10KiB,put,0.00640625,0.6716799999999999
2,pure,1,1,10MiB,get,0.465791015625,0.047700000000000006
3,pure,1,1,10MiB,put,0.26072265625,0.026699999999999998
4,pure,1,1,100MiB,get,0.46396484375,0.00475
5,pure,1,1,100MiB,put,0.248779296875,0.0025499999999999997
6,pure,1,1,1GiB,get,0.449326171875,0.00045
7,pure,1,1,1GiB,put,0.253564453125,0.00025
8,pure,1,20,10KiB,get,0.30615234375,32.10291
9,pure,1,20,10KiB,put,0.120205078125,12.60423
10,pure,1,20,10MiB,get,3.830322265625,0.39222
11,pure,1,20,10MiB,put,2.704296875,0.27692
12,pure,1,20,100MiB,get,4.7968359375,0.04912
13,pure,1,20,100MiB,put,2.679033203125,0.02743
14,pure,1,20,1GiB,get,4.74208984375,0.00474
15,pure,1,20,1GiB,put,2.66626953125,0.00267
16,pure,1,50,10KiB,get,0.676240234375,70.90850999999999
17,pure,1,50,10KiB,put,0.186943359375,19.60207
18,pure,1,50,10MiB,get,4.976474609375,0.50959
19,pure,1,50,10MiB,put,2.863798828125,0.29325
20,pure,1,50,100MiB,get,5.55943359375,0.05693
21,pure,1,50,100MiB,put,2.866328125,0.02935
22,pure,1,50,1GiB,get,5.641318359375,0.00564
23,pure,1,50,1GiB,put,2.868115234375,0.00287
24,pure,1,100,10KiB,get,0.804150390625,84.32127
25,pure,1,100,10KiB,put,0.2054296875,21.54101
26,pure,1,100,10MiB,get,5.6652734375,0.58012
27,pure,1,100,10MiB,put,2.86408203125,0.29328
28,pure,1,100,100MiB,get,5.754814453125,0.058929999999999996
29,pure,1,100,100MiB,put,2.86404296875,0.02933
30,pure,1,100,1GiB,get,5.751943359375,0.00575
31,pure,1,100,1GiB,put,2.86421875,0.0028599999999999997
32,pure,2,1,10KiB,get,0.035439453125,3.7159299999999997
33,pure,2,1,10KiB,put,0.014873046875,1.55942
34,pure,2,1,10MiB,get,0.876669921875,0.08977
35,pure,2,1,10MiB,put,0.498349609375,0.05103
36,pure,2,1,100MiB,get,0.864453125,0.00885
37,pure,2,1,100MiB,put,0.48921875,0.00501
38,pure,2,1,1GiB,get,0.88876953125,0.0008900000000000001
39,pure,2,1,1GiB,put,0.4985546875,0.0005
40,pure,2,20,10KiB,get,0.5851171875,61.35377
41,pure,2,20,10KiB,put,0.203798828125,21.36991
42,pure,2,20,10MiB,get,7.22697265625,0.7400399999999999
43,pure,2,20,10MiB,put,3.604580078125,0.36911
44,pure,2,20,100MiB,get,7.971240234375,0.08163
45,pure,2,20,100MiB,put,3.54580078125,0.03631
46,pure,2,20,1GiB,get,8.220087890625,0.00822
47,pure,2,20,1GiB,put,3.493037109375,0.00349
48,pure,2,50,10KiB,get,1.100625,115.40896000000001
49,pure,2,50,10KiB,put,0.255888671875,26.83173
50,pure,2,50,10MiB,get,10.193193359375,1.04378
51,pure,2,50,10MiB,put,4.106630859375,0.42052
52,pure,2,50,100MiB,get,10.485439453125,0.10737000000000001
53,pure,2,50,100MiB,put,3.913896484375,0.04008
54,pure,2,50,1GiB,get,10.646240234375,0.01065
55,pure,2,50,1GiB,put,4.0624609375,0.004059999999999999
56,pure,2,100,10KiB,get,1.432646484375,150.22351999999998
